ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
b2AR-decoy_1058,Clc1ccc(OCCCCSc2ncccn2)cc1,-7.497,-5.295438011178515,-4.929246088469881,-4.248336949542789,-3.114315787273158,-2.5978688930961846,-2.502070045242071,-1.752417845601447,-3.7197305182606666,-4.511578071486307,0
b2AR-decoy_1059,Cc1cc(CCCCCOc2ccc(C3=NCCO3)cc2C=O)on1,-7.791,-6.030438011178515,-5.484246088469881,-4.69733694954279,-4.351315787273158,-3.2648688930961844,-3.124070045242071,-2.970417845601447,-4.425730518260666,-4.963578071486307,0
b2AR-decoy_106,COc1c2c(c(/C=C\C(C)(C)O)c3oc(c4ccccc4)cc(=O)c13)OC(C)(C)C=C2,-9.119,-7.278438011178515,-7.348246088469882,-6.059336949542789,-5.577315787273159,-4.744868893096184,-3.2480700452420708,-4.393417845601446,-6.204730518260666,-6.859578071486306,0
b2AR-decoy_1060,CCCCCC(=O)c1cccc(OCc2cccc(C#N)c2)c1,-8.925,-6.447438011178516,-6.170246088469881,-5.17733694954279,-4.725315787273159,-4.520868893096186,-3.705070045242071,-3.241417845601447,-5.2727305182606665,-5.382578071486307,0
b2AR-decoy_1061,COc1cc(OC)c(/C=C/C(=O)c2ccc(C(F)(F)F)cc2)c(OC)c1,-8.849,-7.187438011178514,-5.978246088469882,-5.482336949542789,-4.615315787273159,-4.126868893096185,-4.117070045242071,-3.648417845601447,-5.215730518260666,-6.138578071486307,0
b2AR-decoy_1062,COc1ccc(S(=O)(=O)C(CCS)Cc2ccccc2)cc1,-7.822,-5.956438011178515,-5.296246088469881,-4.59533694954279,-4.219315787273159,-3.492868893096185,-2.9740700452420707,-2.9584178456014465,-4.420730518260666,-5.274578071486307,0
b2AR-decoy_1063,CC(=O)C[C@@H](CC(=O)Oc1ccc(C#N)cc1)c1ccccc1,-8.788,-6.668438011178516,-6.191246088469882,-5.319336949542789,-4.883315787273158,-4.263868893096184,-4.073070045242071,-3.536417845601447,-4.644730518260666,-5.844578071486307,0
b2AR-decoy_1064,CCCCCC1=CC(=O)C2=C(OC(C)(CCC=C(C)C)C=C2)C1=O,-8.69,-6.499438011178516,-6.194246088469882,-5.25933694954279,-4.994315787273159,-4.1188688930961845,-3.8050700452420703,-3.561417845601447,-4.991730518260666,-5.504578071486307,0
b2AR-decoy_1065,O=C(CCCCCc1ccc(Br)cc1)N1CCOC1=O,-8.21,-5.853438011178516,-5.545246088469881,-4.67533694954279,-4.135315787273158,-3.574868893096185,-3.089070045242071,-2.5114178456014464,-4.004730518260667,-4.623578071486307,0
b2AR-decoy_1066,Cc1c(SCc2ccc(OCC(C)F)cc2)oc2ccccc2c1=O,-9.563,-7.459438011178515,-6.94024608846988,-5.7033369495427895,-6.026315787273159,-5.396868893096185,-5.0130700452420704,-4.322417845601446,-6.2967305182606665,-5.901578071486307,0
b2AR-decoy_1067,COc1cc(OC)c(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)c(OC)c1,-8.826,-6.727438011178515,-6.016246088469881,-5.68933694954279,-5.049315787273159,-4.092868893096185,-3.868070045242071,-3.621417845601448,-5.480730518260666,-6.011578071486307,0
b2AR-decoy_1068,COc1ccc(/C=C/c2nsc(/C=C/c3ccc(OC)cc3)n2)cc1,-8.439,-6.866438011178515,-6.322246088469882,-5.2513369495427895,-4.826315787273158,-4.2678688930961854,-4.091070045242072,-3.5404178456014463,-5.358730518260666,-5.132578071486307,0
b2AR-decoy_1069,Cc1ccc(c2cc(C(=O)NC(C)c3cnccn3)cc(c3cncs3)c2)cc1,-9.483,-7.582438011178516,-6.9562460884698805,-5.96233694954279,-5.784315787273158,-4.862868893096184,-4.916070045242071,-4.497417845601447,-6.719730518260667,-6.920578071486306,0
b2AR-decoy_107,Cc1cc(C)c(S(=O)(=O)Nc2cc(Cl)c3oc4c(c3c2)C(=O)CCC4)cc1C,-10.547,-8.926438011178515,-8.89224608846988,-7.521336949542789,-7.7803157872731585,-6.927868893096186,-6.51007004524207,-5.965417845601447,-8.261730518260666,-7.912578071486306,0
b2AR-decoy_1070,Cn1cc(C(c2ccc(O)c(O)c2O)c2cn(C)c3ccccc23)c2ccccc21,-9.541,-7.400438011178515,-7.455246088469881,-6.319336949542789,-5.746315787273158,-4.8688688930961845,-4.577070045242071,-3.680417845601447,-6.0757305182606665,-6.384578071486306,0
b2AR-decoy_1071,CC(Sc1nnc(c2ccncc2)s1)C(=O)Nc1ccc(Cl)cc1Cl,-9.743,-7.418438011178516,-6.3792460884698805,-6.303336949542789,-5.172315787273158,-4.872868893096184,-4.74407004524207,-3.9824178456014474,-5.624730518260666,-6.861578071486306,0
b2AR-decoy_1072,Cc1ccc(Cn2ccc(NC(=O)c3c(C)onc3c3ccccc3Cl)n2)cc1,-9.786,-8.170438011178515,-7.583246088469881,-6.46233694954279,-5.649315787273158,-5.519868893096184,-4.643070045242071,-5.160417845601447,-6.478730518260667,-6.508578071486307,0
b2AR-decoy_1073,C[C@H](CCC(N)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](N=[N+]=[N-])CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,-9.324,-7.856438011178515,-6.470246088469882,-6.47733694954279,-5.382315787273159,-5.563868893096185,-4.166070045242071,-4.649417845601446,-6.133730518260666,-6.337578071486307,0
b2AR-decoy_1074,O=[N+]([O-])c1cc(O)cc(c2nnc(SCc3ccc(Cl)c(Cl)c3)o2)c1,-9.485,-7.821438011178515,-6.865246088469881,-6.230336949542791,-5.491315787273159,-4.9248688930961855,-4.10607004524207,-4.513417845601447,-6.016730518260667,-6.221578071486306,0
b2AR-decoy_1075,CC(=O)c1ccccc1c1cc(c2cn(CC#N)nc2c2cc(C)cc(O)c2)ccn1,-9.949,-8.236438011178516,-7.232246088469882,-6.61833694954279,-5.888315787273159,-5.937868893096185,-4.671070045242072,-5.053417845601446,-7.298730518260667,-6.968578071486306,0
b2AR-decoy_1076,CC/C(=N\NC(=O)c1cc2ccccc2cc1O)c1cc2c(F)c(F)c(F)cc2[nH]1,-11.733,-9.939438011178517,-8.679246088469881,-8.53233694954279,-7.3893157872731585,-6.7278688930961845,-6.5130700452420704,-6.300417845601446,-8.223730518260666,-9.184578071486309,0
b2AR-decoy_1077,Cc1cccc(NC(=O)CSc2nc(C(F)(F)F)cc(c3ccco3)n2)c1C,-10.678,-8.874438011178515,-8.035246088469881,-7.745336949542789,-6.246315787273158,-6.159868893096185,-5.118070045242071,-5.129417845601447,-6.307730518260666,-7.478578071486307,0
b2AR-decoy_1078,CC(=O)c1cccc(c2cc(c3cnn(CC#N)c3c3cc(C)cc(O)c3)ccn2)c1,-10.161,-7.414438011178515,-7.452246088469881,-6.22433694954279,-6.013315787273159,-5.9248688930961855,-5.203070045242072,-5.302417845601447,-6.767730518260667,-6.026578071486307,0
b2AR-decoy_1079,OC(c1ccc(Oc2ncccc2C2=CCOCC2)cc1)c1nc2ccccc2s1,-9.396,-7.7654380111785155,-6.947246088469882,-6.130336949542789,-5.539315787273159,-5.501868893096185,-5.02607004524207,-4.767417845601447,-6.419730518260666,-7.566578071486306,0
b2AR-decoy_108,CCCc1cc(=O)oc2cc(c3cccc4c3Sc3ccccc3S4)cc(O)c12,-10.317,-7.623438011178514,-6.936246088469881,-5.418336949542789,-6.526315787273159,-5.205868893096184,-4.142070045242072,-4.897417845601447,-6.726730518260666,-6.241578071486307,0
b2AR-decoy_1080,Cc1csc(N2Nc3onc(c4ccccc4)c3C2c2ccc(Cl)cc2)n1,-10.217,-7.915438011178516,-7.803246088469882,-6.595336949542789,-7.067315787273158,-6.064868893096184,-5.204070045242071,-4.948417845601448,-6.725730518260667,-7.077578071486306,0
b2AR-decoy_1081,COC(=O)c1c(NC(=O)C2c3ccccc3Oc3ccccc32)sc(C)c1C,-9.947,-7.968438011178515,-7.707246088469882,-6.643336949542789,-6.817315787273158,-5.8528688930961845,-5.217070045242071,-4.242417845601446,-7.188730518260666,-6.281578071486306,0
b2AR-decoy_1082,COc1ccc(c2c(OC)c(O)c(c3ccc(OC)cc3)c3scnc32)cc1,-6.987,-5.058438011178515,-5.270246088469881,-3.7303369495427896,-3.1533157872731588,-2.7488688930961844,-3.4180700452420707,-2.2304178456014467,-5.202730518260666,-4.038578071486307,0
b2AR-decoy_1083,COc1c(C(C)=O)c(O)c(OCc2ccc(C(F)(F)F)cc2)c2occc12,-9.137,-6.996438011178515,-6.370246088469882,-6.059336949542789,-5.269315787273159,-4.724868893096184,-4.39807004524207,-4.192417845601447,-5.735730518260667,-6.093578071486306,0
b2AR-decoy_1084,Cc1cccc(c2c(NC(=O)c3ccco3)oc3ccc(Cl)cc3c2=O)c1,-9.703,-7.873438011178514,-6.638246088469881,-6.120336949542789,-6.406315787273158,-5.9938688930961845,-4.775070045242071,-5.164417845601447,-6.323730518260666,-6.079578071486306,0
b2AR-decoy_1085,O=C1Oc2ccc(c3ccccc3)cc2C(=O)/C1=N/Nc1c(Cl)cccc1Cl,-10.449,-9.388438011178517,-7.526246088469881,-7.65033694954279,-6.719315787273159,-5.780868893096185,-5.400070045242071,-5.318417845601447,-7.273730518260667,-7.893578071486306,0
b2AR-decoy_1086,COc1cc2nc(c3cccc(Br)c3)cc(O)c2cc1c1cnco1,-9.188,-6.991438011178515,-6.6082460884698815,-6.00033694954279,-5.647315787273158,-4.878868893096184,-5.080070045242071,-3.536417845601447,-5.8897305182606665,-5.175578071486306,0
