ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
b2AR-decoy_384,O=C(NCc1ccc(C(F)(F)F)c(F)c1)c1cc(Cl)ccc1O,-9.32571679874414,-5.348026406973156,-2.5934905552493213,-4.70420718824448,-3.986657320624969,-3.520990755249674,-3.407896948624801,-3.542580967953977,-4.654244231773957,-5.385286806169527,0
b2AR-decoy_324,Cc1ccc(O)c(Cc2cc(C)cc(Cc3cc(C)ccc3O)c2O)c1,-9.30563328428665,-5.869061119544335,-4.728325952407361,-3.18856006958472,-5.684994630331888,-5.006122438535234,-3.97341932891228,-1.943945613442977,-4.136781055802826,-3.3427884976593973,0
b2AR-decoy_212,O=C1[C@@H](CCn2cc(CO[C@H]3Cc4c(O)cc(O)cc4O[C@@H]3c3ccc(O)c(O)c3)nn2)[C@@H](c2ccccc2)N1c1ccccc1,-9.26439987577442,-6.075636793477215,-7.364715191542182,-5.35184950742768,-4.790310729355128,-4.424618155137505,-4.268651303864141,-3.857678378738587,-4.546644235882867,-5.798092743055516,0
b2AR-decoy_207,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cn1cc(CCC(=O)N2CCOCC2)c2ccc(C(=O)NCC3CCCC3)cc21,-9.25091357749036,-4.456823184078415,-4.359533317164011,-4.94263656752247,-2.8962483335530784,-0.0137396694529945,-2.079050305570771,-0.8767950242564071,-2.1039003733169768,-4.110929380610317,0
ASD03130019,CNC(=O)C(Cc1cccc(Br)c1)NC(=O)C(Cc1ccc(C(N)=O)cc1)NC(=O)C(c1ccccc1)C1CCCCC1,-9.22720402957465,-8.364620666690415,-8.69687143111998,-7.750556335429289,-8.63923735067286,-6.523904124536385,-8.002673150208071,-5.624229855733447,-8.713921740960167,-8.094432655611007,1
b2AR-decoy_2515,O=C(OCCC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)c1cc(/N=C/c2cc(O)ccc2O)ccc1O,-9.22140366963368,-6.6834037631657655,-6.016396994211641,-4.47184854140861,-2.8084484115326083,-1.8559054448186645,-4.282569431763632,-3.2394158252577165,-4.9639813876794765,-5.152716197634316,0
b2AR-decoy_178,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(C[NH2+][C@@H](C(=O)[O-])[C@H](C)O)cc2Cl)cccc1c1ccccc1,-9.21241267876961,-7.702845864755016,-4.726608645812501,-5.38400198113478,-4.392869806182269,-2.2150138212034145,-4.471974718898951,-2.773625213123837,-4.062048614171377,-6.679864967340327,0
b2AR-decoy_1109,NC(=O)c1ccccc1NC(=O)c1ccc(Oc2ccc3ccccc3c2)cc1,-9.21024440992066,-7.541312587257336,-3.704680438686161,-5.50165999751472,-3.6791249979666585,-2.867680152627885,-2.803193915030451,-1.8689848766674464,-4.155005377374186,-5.836509678476576,0
b2AR-decoy_2226,O=C1NC(=S)S/C1=C\N1N=C(c2ccc3ccccc3c2)CC1c1ccc(Cl)cc1,-9.20807494139206,-6.306798533202075,-6.724442494791671,-2.0357838718655,-3.9023050365587286,-3.549186289119385,-2.3683299015582118,-3.7119362440545576,-4.584019089504887,-5.133070641835106,0
b2AR-decoy_254,C[C@@H](S[C@H]1CO[C@H](c2ccc(C(=O)Nc3ccc(C#N)c(C#N)c3)cc2)OC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,-9.16398433368719,-6.452430127418944,-5.9532693461129815,-3.50970611347579,-3.098744552622448,-5.423204944198416,-2.9912674493403117,-5.058470151508248,-5.620250481264746,-5.125970914446327,0
b2AR-decoy_698,Cc1cc(C)c(/C=N/NC(=O)C(C)c2ccc(c3ccccc3)c(F)c2)c(C)c1,-9.16346369477583,-6.388349133276876,-5.630197703096611,-4.77782163760545,-5.850036098961249,-4.555517069281324,-2.902954753884861,-3.633135235791187,-3.891183682854747,-5.843215449253087,0
b2AR-decoy_1116,CCC(C)N1C(=O)S/C(=C/c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,-9.14478748883805,-5.800774402765435,-3.1369236517586314,-4.39601877980674,-4.919503743513399,-3.314721769879955,-2.7680000084602607,-2.209823637681697,-3.4559507119301465,-4.750965577187587,0
b2AR-decoy_503,O=c1oc2ccc(O)cc2cc1c1cccc(O)c1,-9.14385979273668,-6.568021994099835,-6.341670353248992,-4.77500638729431,-5.821692005060449,-4.7825588507337855,-4.169307060322032,-3.893925073524666,-5.679086807753297,-4.394351442714997,0
b2AR-decoy_2066,O=c1ccc2cc(OC/C(=N\O)c3ccc(c4ccccc4)cc3)ccc2o1,-9.14283027250201,-5.389830542917095,-3.766355916756731,-4.92703956638006,-2.3146993704469985,-1.8498941181482944,-2.387806206126601,-3.8672104737354367,-3.943038807344716,-4.3925888818111165,0
b2AR-decoy_1776,Oc1ccc(SC[C@@H]2CO[C@@](CCc3ccc(Cl)cc3)(Cn3ccnc3)O2)cc1,-9.13182198302892,-6.5461615120317855,-7.221191947101781,-5.61334521075425,-5.380214592543039,-5.056062696396685,-4.317876457457311,-3.465439723970057,-5.412289957438146,-4.111018180575597,0
b2AR-decoy_744,CC1CCc2c(c3c(O)cc(C(C)CCCc4ccc(F)cc4)cc3oc2=O)C1,-9.13015370491706,-6.755495494506455,-5.673963147249511,-5.00301290774075,-4.542987024148438,-3.674182905697125,-3.89460957309452,-3.236322621317517,-4.549236763329416,-6.0842797997760965,0
b2AR-decoy_2286,C=C(CCC(O)c1cccc2ccccc12)C1COC2(OO1)C1CC3CC(C1)CC2C3,-9.11919945249471,-6.717028541944126,-5.147312100218722,-4.395669269470099,-3.2433683632485684,-3.6217781393807353,-4.099542745043921,-3.535964671672477,-4.280505068028576,-5.397254246514736,0
