ligand_id,SMILES,BE_avg,is_active
b2AR-decoy_320,Cc1cc(c2ccc3oc(=O)cc(c4ccccc4)c3c2)c(C)cc1CO,-2.937206260344724,0
b2AR-decoy_3013,O=C(CCCl)Nc1ccc(SCC(=O)Nc2ccc(Br)cn2)cc1,-2.9370599209029926,0
b2AR-decoy_1741,Cc1cccc(c2ocnc2C(=O)Nc2cnn(CCN3CCc4ccccc43)c2)c1,-2.936788927950043,0
b2AR-decoy_1381,C=C(c1cc(Cl)cc(Cl)c1OCc1ccsc1)n1ccnc1,-2.936151022494651,0
b2AR-decoy_857,CCc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C[N+](=O)[O-])CC[C@@H]12,-2.9352534388347182,0
ASD03130109,Cc1ccc2c(NC3CCCCC3)nc(Nc3cc(Cl)cc(Cl)c3)nc2c1,-2.934556994273896,1
b2AR-decoy_247,C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,-2.9332737218796883,0
b2AR-decoy_2508,C=CCn1c(=Nc2ccc(Cl)cc2)sc(C)c1c1ccccc1,-2.9315877485099904,0
b2AR-decoy_1447,COc1cccc(O)c1O,-2.9305457230941374,0
b2AR-decoy_1058,Clc1ccc(OCCCCSc2ncccn2)cc1,-2.929351397948533,0
b2AR-decoy_1353,N#C/C(=C/c1ccc(N2CCCCCC2)o1)c1ccc(Cl)cc1,-2.927452207174726,0
b2AR-decoy_2805,CC(C)=CCC/C(C)=C/Cc1c(=O)c2c(O)cc(O)c(CC=C(C)C)c2oc1c1ccc(O)cc1O,-2.927136010226553,0
b2AR-decoy_2112,Cc1n[nH]c(O)c1C(c1ccc(Br)cc1)c1c(C)n[nH]c1O,-2.926780126159584,0
b2AR-decoy_2559,CCc1nnc(c2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)ccc2C2CCC2)[nH]1,-2.925765817264058,0
b2AR-decoy_1480,NC(=S)c1nccs1,-2.925300729023005,0
ASD03130101,CCOC(=O)N1CCC(Nc2nc(Nc3cc(Cl)cc(Cl)c3)nc3ccccc23)CC1,-2.924067098626528,1
b2AR-decoy_2516,Cc1nc(c2ccc(Cl)cc2)sc1C(=O)CSc1nc(c2ccccc2)c(C#N)c(=O)[nH]1,-2.922710800347768,0
ASD03130026,Nc1nc(Nc2ccccc2)nc2ccc(I)cc12,-2.9210004664431826,1
b2AR-decoy_1282,C/C(=C\COc1ccc2ccc(=O)oc2c1)CC/C=C(\C)C1CC(=O)C(C)(C)O1,-2.9194692600692416,0
b2AR-decoy_2970,CC(=O)[C@@]12OC(C)(c3ccccc3)O[C@@H]1CC1C3CCC4=CC(=O)CCC4(C)C3CCC12C,-2.918214019217733,0
b2AR-decoy_196,C=CCCS(=O)(=O)NC(=O)c1ccccc1NC(=O)[C@@H](NC(=O)OC(C)(C)C)c1ccc(Oc2cc(OC)nc(c3ccccc3)n2)c(C=C)c1,-2.916942786365967,0
b2AR-decoy_3127,C[C@@H](CCCC(C)(C)O)C1CCC2/C(=C/C=C3C[C@@H](O)C(=CCO)[C@H](O)C3)CCCC21C,-2.9165112535494644,0
b2AR-decoy_721,Cc1[nH]c(C)c(c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)c(=O)c1Cl,-2.915471600259469,0
b2AR-decoy_725,COc1ccc(/C=C2/C(=O)Nc3ccc(Cl)cc32)c(c2ccc(Cl)cc2)c1,-2.91462923584889,0
b2AR-decoy_2350,O=C(NNC(=O)c1ccccc1Cl)c1cc2cc(OC(F)(F)F)ccc2[nH]1,-2.9134150847118283,0
b2AR-decoy_2197,C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O)CO,-2.912046235208626,0
b2AR-decoy_1619,Cc1ccc(OCCCC(=O)Oc2ccc3c(C)cc(=O)oc3c2)c(C)c1,-2.911561982901039,0
b2AR-decoy_747,O=c1cc(c2ccccc2)c2cc(c3ccc(CO)cc3)ccc2o1,-2.911029665852383,0
b2AR-decoy_2669,CCc1nnc(SCc2nc(c3ccccc3Cl)oc2C)c2cc3sc(C)cc3n12,-2.9104585318998937,0
b2AR-decoy_944,FC(F)(F)c1ccccc1c1cc2cn[nH]c2cc1OCC1CC1,-2.909594637006335,0
b2AR-decoy_1787,Cc1nc([C@](C)(CC(C)(C)C)NC(=O)c2cc(OCC(F)(F)F)c(C3CC3)cn2)no1,-2.9095474463273603,0
b2AR-decoy_1893,Cc1cccc(OCC(=O)N(Cc2cccs2)c2ccc(Cl)cc2)c1C,-2.90941314468141,0
b2AR-decoy_1395,N#Cc1c[nH]c(c2ncc[nH]2)n1,-2.9065968413861176,0
b2AR-decoy_1218,CCCCOC(C#CC1CC1)(c1cc(CC)c(C)nc1O)C(F)(F)F,-2.905963490734008,0
b2AR-decoy_249,CNC(=O)c1ccc(/C=C/C(=O)NCC(=O)N(C)c2ccc(Cl)c(COc3cccc4ccc(C)nc34)c2Cl)cn1,-2.9035108186046203,0
b2AR-decoy_2526,Cc1cc(c2c(F)cc3c(=O)c(Cc4c(O)cc(O)cc4O)cn(C4CC4)c3c2F)cc(C)n1,-2.9032016485290097,0
b2AR-decoy_1207,O=C(Nc1nccs1)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-2.90290460942058,0
b2AR-decoy_48,CC(C)=C/C=C\[C@H](C)[C@H]1CC[C@]2(C)C[C@H]3[C@H]4C(=CC[C@@H]12)C(=O)O[C@H]4C[C@@]3(C)O,-2.902401084839052,0
b2AR-decoy_329,O=c1oc(C2(O)CCCCC2)cc2ccc(/C=C/c3ccc(F)cc3)cc12,-2.902243991987023,0
b2AR-decoy_2610,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)n2ccnc2)C(C)(C)CCC1n1ccnc1,-2.902051076154747,0
b2AR-decoy_2715,Cc1ccc(Cc2cc(c3ccc(Br)cc3)n(c3ccc(S(N)(=O)=O)cc3)n2)cc1,-2.9014255205069093,0
b2AR-decoy_16,Cc1ccccc1C(=O)Nc1nnc(c2ccc(C(C)(C)C)cc2)s1,-2.9009934127609105,0
b2AR-decoy_1221,COc1ccccc1c1cc(c2ccc(OC(F)(F)F)cc2)[nH]n1,-2.900150453095036,0
b2AR-decoy_1826,CCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12O,-2.89953488182878,0
