ligand_id,SMILES,BE_min,is_active
b2AR-decoy_3063,O=C1OC[C@H]2[C@@H]1Cc1c(F)cc(F)cc1[C@@H]2/C=C/c1ccc(c2cccc(C(F)(F)F)c2)cn1,-11.754,0
b2AR-decoy_1087,C[C@]12CC[C@@H]3[C@H]4CC/C(=N\Oc5ccc([N+](=O)[O-])cc5)C[C@@H]4CC[C@H]3[C@@H]1CC[C@@H]2O,-11.751,0
b2AR-decoy_698,Cc1cc(C)c(/C=N/NC(=O)C(C)c2ccc(c3ccccc3)c(F)c2)c(C)c1,-11.744,0
b2AR-decoy_1076,CC/C(=N\NC(=O)c1cc2ccccc2cc1O)c1cc2c(F)c(F)c(F)cc2[nH]1,-11.733,0
b2AR-decoy_1943,O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4cccc(F)c4[nH]3)ccnc2N1,-11.702,0
b2AR-decoy_2913,Cc1cccc([C@H]2CC[C@H](CNC(=O)c3ccc(c4nc5cc(C#N)cc(C(C)C)c5o4)cc3)CC2)c1,-11.675,0
b2AR-decoy_2886,Cc1c(N2Cc3ccccc3C2=O)cccc1c1ccc(C(N)=O)c2[nH]c3cc(C(C)(C)O)ccc3c21,-11.671,0
b2AR-decoy_2721,C=C1CC[C@H]2[C@@](C)(CC[C@@H](O)[C@@]2(C)CO)[C@@H]1C/C=C1/C(=O)OC[C@H]1Oc1cccc2ccc(C)nc12,-11.668,0
b2AR-decoy_2915,CC1=C(C(=O)Nc2ccccc2C)C(/C=C/c2ccccc2)C(C(=O)Nc2ccccc2C)=C(C)N1,-11.658,0
b2AR-decoy_1996,NC1=C2C(=O)N(CCc3c[nH]c4ccccc34)C(=O)CC2c2ccccc2O1,-11.652,0
b2AR-decoy_1780,Clc1ccc2ccc(/C=C/c3ccc(OCc4ccccc4CC4=NN=NN4)cc3)nc2c1,-11.65,0
b2AR-decoy_2264,Cc1c(C(=O)c2ccc(Oc3ccccc3)cc2)oc2cc(c3ccccc3)cc(O)c12,-11.649,0
b2AR-decoy_2839,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)[C@H](CCCc1ccccc1)CC1=CC(=O)CC[C@@]13C,-11.643,0
ASD03130108,Clc1cc(Cl)cc(Nc2nc(NC3CCN(c4ccccc4)CC3)c3ccccc3n2)c1,-11.637,1
b2AR-decoy_2764,CC(C)c1nc2c(c3c1[C@@H](c1ccc(C(F)(F)F)cc1)OC31CCOCC1)[C@@H](O)CC1(CC1)C2,-11.608,0
b2AR-decoy_1278,CC1=CC(=O)[C@@H]2C(C)(C)C(=O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1,-11.608,0
b2AR-decoy_205,NS(=O)(=O)c1nc2ccc(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,-11.605,0
b2AR-decoy_2239,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)/C=C/c1ccc(C#N)cc1,-11.602,0
b2AR-decoy_2286,C=C(CCC(O)c1cccc2ccccc12)C1COC2(OO1)C1CC3CC(C1)CC2C3,-11.583,0
ASD03130043,FC1(F)Oc2ccc(Nc3nc(NC4CCCCC4)c4ccccc4n3)cc2O1,-11.58,1
b2AR-decoy_744,CC1CCc2c(c3c(O)cc(C(C)CCCc4ccc(F)cc4)cc3oc2=O)C1,-11.576,0
b2AR-decoy_2206,CC[C@@]12CC[C@](O)(c3ccccc3)C[C@H]1CCc1cc(OCc3cccnc3C)ccc12,-11.545,0
b2AR-decoy_2916,C=C(c1ccccc1)C1COC2(CC[C@@]3(C)C(CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C(C)=O)CC[C@@H]43)C2)OO1,-11.536,0
b2AR-decoy_2642,COc1ccc(c2csc(N3N=C(c4ccc(F)cc4)CC3c3ccc4c(c3)OCCO4)n2)cc1,-11.531,0
b2AR-decoy_2819,COc1ccc(N2C(=O)[C@H](Oc3ccc(C=O)cc3)[C@@H]2c2c3ccccc3cc3ccccc23)cc1,-11.53,0
b2AR-decoy_263,Cc1n[nH]c(CN(C)c2cc3c(cc2C(=O)N[C@H]2CC[C@H](C(F)(F)F)CC2)nc(Nc2c(Cl)ccc(CNC(=O)C(C)(C)F)c2Cl)n3C)n1,-11.529,0
b2AR-decoy_233,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(C(=O)NC[C@@H](C)CC(F)(F)F)cc12,-11.521,0
b2AR-decoy_1832,CC[C@@H](NC(=O)c1cc(C(=O)N[C@H](CC)c2ncccn2)c2n1CCOC2)c1ccc(C(F)(F)F)cc1,-11.508,0
b2AR-decoy_2543,O=C(N[C@H]1CC[C@H](O)CC1)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,-11.504,0
b2AR-decoy_2437,O=C1C=C(c2ccc(Br)c3ccccc23)C[C@@H](c2ccc3c(c2)OCO3)C1,-11.495,0
b2AR-decoy_3090,Cc1cccc(c2ccc(/C=C/[C@@H]3[C@@H]4[C@@H](C)OC(=O)[C@@H]4C[C@@H]4CCCC[C@H]43)nc2)c1,-11.493,0
b2AR-decoy_2607,COc1ccc2c(c1)C/C(=C/c1ccccc1c1ccc3ccccc3c1)C2=O,-11.49,0
b2AR-decoy_2752,O=C(C(Nc1ccccc1F)c1ccc(c2ccncc2)cc1)N1CCCC1c1ccccc1F,-11.489,0
b2AR-decoy_2570,C[C@H]1C[C@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4CC[C@@]32C)OC(=O)[C@@H]1C,-11.488,0
b2AR-decoy_2241,O=C(c1ccc2c(c1)OCCO2)c1oc2cc(O)ccc2c1c1cccc2ccccc21,-11.488,0
b2AR-decoy_212,O=C1[C@@H](CCn2cc(CO[C@H]3Cc4c(O)cc(O)cc4O[C@@H]3c3ccc(O)c(O)c3)nn2)[C@@H](c2ccccc2)N1c1ccccc1,-11.484,0
b2AR-decoy_2711,O=C(c1cc2cc(C3CC3)ccc2[nH]1)N1CC(=O)N(Cc2ccc3cc[nH]c3c2)[C@@H](Cc2ccccc2)C1,-11.48,0
b2AR-decoy_597,O=C(Nc1nccs1)c1cccc(c2ccc3ccccc3c2)c1,-11.475,0
ASD03130110,Fc1ccc(Nc2nc(Nc3cc(Cl)cc(Cl)c3)nc3ccccc23)c(F)c1,-11.468,1
b2AR-decoy_723,CC1(C)Oc2cc(C34CC5CC(CC(C5)C3)C4)cc(O)c2[C@@H]2C[C@H](CC=O)CC[C@H]21,-11.463,0
b2AR-decoy_2538,Clc1ccc(Cn2nccc2c2ccc3nnn(c4ccc5cn[nH]c5c4)c3c2)c(Cl)c1,-11.46,0
b2AR-decoy_309,NS(=O)(=O)c1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(I)c1,-11.459,0
b2AR-decoy_2603,CC1=CC[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@H]1CC[C@H]1C(C)=CC[C@H]2C(C)(C)C(=O)CC[C@]12C,-11.457,0
b2AR-decoy_2333,O[C@H]1[C@H](O)CO[C@@H](c2cn(Cc3ccc4ccccc4c3)c3ccccc23)[C@@H]1O,-11.453,0
ASD03130104,Clc1cc(Cl)cc(Nc2nc(NC3CCN(Cc4ccccc4)CC3)c3ccccc3n2)c1,-11.451,1
ASD03130022,CNC(=O)C(Cc1cc(Br)cc(Br)c1)NC(=O)C(Cc1ccc(C(N)=O)cc1)NC(=O)C(c1ccccc1)C1CCCCC1,-11.448,1
b2AR-decoy_101,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2[C@@H](OCc2ccccc2)C[C@@]2(C)[C@H]1CC[C@@]21CO1,-11.441,0
b2AR-decoy_2221,C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](/C=C/c3ccc4cc(NC(=O)C(C)(C)C)ccc4n3)[C@H]12,-11.436,0
b2AR-decoy_2881,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@](O)(c5ccccc5)CC[C@]4(C)[C@H]3CC[C@]12C,-11.422,0
b2AR-decoy_1582,O=C(NCCCn1ccc(=O)[nH]c1=O)C(c1ccccc1)(c1ccccc1)c1ccccc1,-11.422,0
b2AR-decoy_2641,O=Nc1c(c2ccc(c3cc4ccccc4oc3=O)cc2)nc2sc(Cc3noc4ccccc34)nn12,-11.42,0
b2AR-decoy_1953,N#Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,-11.418,0
ASD03130107,Clc1cc(Cl)cc(Nc2nc(Nc3ccccc3Cl)c3ccccc3n2)c1,-11.416,1
b2AR-decoy_1171,C/C(=N\Nc1nc(c2cc(C)ccc2C)cs1)c1cc2ccccc2oc1=O,-11.415,0
b2AR-decoy_150,CCc1ccncc1C1=CC=C2[C@@H]3CCC4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-11.415,0
b2AR-decoy_2558,CC(=O)Nc1nc2c(Oc3cc(C4=CCC(C(F)(F)F)CC4)ncn3)cccc2s1,-11.409,0
b2AR-decoy_2863,C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](/C=C/c3ccc(c4ccccc4Cl)cn3)[C@H]12,-11.404,0
b2AR-decoy_2284,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/C(=O)Nc1ccc(C#N)cc1,-11.392,0
b2AR-decoy_2321,NS(=O)(=O)c1ccc(N2N=C3c4ccccc4CCC3C2c2cccc(O)c2)cc1,-11.378,0
b2AR-decoy_2606,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1C(OC(=O)c1ccc(F)cc1)CCC2(C)C,-11.367,0
b2AR-decoy_2506,Cc1oc(c2cccc(Cl)c2)nc1CSc1nncn2c1cc1occc12,-11.367,0
b2AR-decoy_2848,COc1cccc(/C=C/C(=O)OC[C@@]2(C)CCC[C@]3(C)[C@@H]2CC[C@@]24C=C[C@@](C)(CC[C@@H]32)C4)c1,-11.365,0
b2AR-decoy_2227,Cc1[nH]c(C)c(c2cccc(c3ccc(OC(F)(F)F)cc3)c2)c(=O)c1Br,-11.358,0
b2AR-decoy_2909,Clc1ccccc1c1nnc(SCc2nc(c3ccccc3)no2)n1c1ccccc1,-11.358,0
b2AR-decoy_910,Cc1ccc2oc3c(SCc4nc5ccccc5[nH]4)nc(C)nc3c2c1,-11.353,0
b2AR-decoy_2689,Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cccc3c2cnn3c2cccc(C)c2)c(C)c1,-11.352,0
b2AR-decoy_2878,O=C(/C=C/c1ccc(/C=C/C(=O)c2cccc3ccccc23)cc1)c1cccc2ccccc12,-11.346,0
b2AR-decoy_2101,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC(C(=O)NCc1ccncc1)[C@@H]2O,-11.346,0
b2AR-decoy_3083,Cc1nc2cnccc2n1c1ccc(OCc2cccc(/C=C/c3ccc4ccccc4n3)c2)cc1,-11.342,0
b2AR-decoy_5,Cc1ccc2c(c1)N/C(=C\C(=O)c1ccc(c3ccccc3)cc1)C(=O)O2,-11.335,0
b2AR-decoy_2556,COc1ccc(c2nn(c3ccccc3)cc2/C=C/C(=O)c2ccc(O)c3c2OC(C)(C)C3)cc1,-11.334,0
b2AR-decoy_2834,C[C@H]1CCC([C@@H](C)[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@@]32C)=NC1,-11.329,0
ASD03130073,Fc1cc(F)cc(Nc2nc(NC3CCCCC3)c3ccccc3n2)c1,-11.32,1
