#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0   535770    0.357    1.119    0.253   690727    1.900
       1   296788    0.198    1.257    0.213  1117910    1.842
       2   272067    0.181    1.134    0.242   261648    1.997
       3   211338    0.141    1.069    0.181  1404155    2.066
       4   112782    0.075    1.185    0.255   103316    1.937
       5    40134    0.027    1.013    0.245   334666    2.005
       6    15596    0.010    0.763    0.113   461251    1.848
       7    13556    0.009    0.934    0.180  1499275    2.463
       8     1798    0.001    0.000    0.000   630343    2.133
       9      171    0.000    0.000    0.000   310637    2.173
