ligand_id,SMILES,glide_gscore,is_active
M2R-decoy_5085,CCC(C)[C@@H](C[NH+](CC(=O)N[C@@H](CCSC)C(=O)[O-])Cc1cccc2ccccc12)NC(=O)CSCc1ccccc1[N+](=O)[O-],-9.77125370579234,0
M2R-decoy_8616,C=CCO[C@@H]1[C@H](OC(=O)CCc2ccccc2)[C@H](Oc2ccc(I)cc2)O[C@@H](COS(=O)(=O)c2cccc(C(F)(F)F)c2)[C@H]1O,-9.74563095417767,0
ASD01810008,O=C1CCc2cc3c(c4c5cc(O)ccc5n1c24)CCNC3,-9.73538434408632,1
M2R-decoy_6317,CCOc1ccc(Cc2cc([C@@H]3O[C@H](/C=N/NC(=O)c4ccc(Cl)cc4)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,-9.73481949153627,0
M2R-decoy_1985,CNc1ccc(C[C@H](NS(=O)(=O)c2cnccc2N[C@H](CO)Cc2ccccc2)C(=O)N2CCC(CCF)CC2)cc1,-9.73025118719275,0
M2R-decoy_6752,CCOc1ccc(Cc2cc([C@@H]3O[C@H](/C=N/NC(=O)c4ccncc4)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,-9.71807062624915,0
M2R-decoy_5058,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCc1ccccn1,-9.67968687471128,0
M2R-decoy_4093,C=C(CN=[N+]=[N-])[C@@H](O)[C@@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,-9.6761338862046,0
M2R-decoy_5064,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)[C@H](O)CSc1ccccc1,-9.65764354158189,0
M2R-decoy_1900,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C[NH+]1CCC1,-9.62844699025178,0
M2R-decoy_2664,CC(C)C(NC(=O)OCc1ccc(N)nc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,-9.62612760367465,0
M2R-decoy_9994,CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(c4cccc(C(F)(F)F)c4)nn3)C(=O)O[C@]12C,-9.62260610963841,0
M2R-decoy_2626,CC[C@H](NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@]2(CCO2)[C@@H]1O)Oc1ccccc1)C(=O)OCc1ccccc1,-9.59675669039403,0
M2R-decoy_8091,O=C(NCc1cccc(C(F)(F)F)c1)[C@@H](CC(=O)N1CCN(N2CCCC2)CC1)N1C(=O)[C@@H](N2C(=O)OC[C@@H]2c2ccccc2)[C@H]1/C=C/c1ccccc1,-9.58328352795527,0
M2R-decoy_9049,O=C(NCCc1nccs1)c1cnc2c(SSc3cccc4cc(C(=O)NCCc5nccs5)cnc34)cccc2c1,-9.56961661181943,0
M2R-decoy_1320,Ob1oc2ccc3cc(O)ccc3c2cc1c1cc(O)cc(O)c1,-9.56770864070437,0
M2R-decoy_9309,CC[C@H](C)[C@H](NC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)c1ncccc1OCSc1ccccc1)C(=O)NCc1nc2ccccc2[nH]1,-9.55240946832451,0
M2R-decoy_5775,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCC(N)=O,-9.53171397695348,0
M2R-decoy_2736,C=CCCCC(NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=C)C(=O)NCC(C)C,-9.51281643329585,0
M2R-decoy_2608,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C12CC3CC(CC(NC(=O)[C@@H]([NH3+])Cc4ccc(O)cc4)(C3)C1)C2)C(=O)[O-],-9.5057222010899,0
M2R-decoy_6000,CCC(O)(c1ccccc1)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)cn1,-9.48446161219554,0
M2R-decoy_9142,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](COC(=O)c1ccccc1)Cc1ccccc1)OCC1c2ccccc2-c2ccccc21,-9.47845301036533,0
M2R-decoy_2725,COc1ccc(C[C@H](NS(=O)(=O)N2CCOCC2)C(=O)N[C@@H](Cc2csc(N)n2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)cc1,-9.46858214363257,0
M2R-decoy_9353,CN(C(=O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(C)(C)[NH3+])[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,-9.46201800910545,0
M2R-decoy_760,O=C1Nc2ccccc2/C1=N/N=C/c1coc2ccccc2c1=O,-9.46178080377088,0
M2R-decoy_3266,O=C(c1ccc(Cl)cc1)C(CSCC1CCCC1)n1cnc2ccccc21,-9.4541857795813,0
M2R-decoy_8660,C[C@]1(Cc2ccccc2)C[C@H](Cc2ccccc2)N(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3C[C@H]2O)C1=O,-9.44027044866719,0
M2R-decoy_2739,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc1cccc2ccccc12)C(N)=O,-9.43151479407768,0
M2R-decoy_4502,C[C@@H](c1ccccc1)[C@H](O)/C=C/[C@@H]1C2CCC(O2)[C@@H]1C/C=C\CCCC1=NN=NN1,-9.42595131052876,0
M2R-decoy_8401,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](COC(=O)c1ccccc1)Cc1ccccc1)OCC1c2ccccc2-c2ccccc21,-9.42554611404343,0
M2R-decoy_3500,CC(C)C[C@H](NC(=O)N1CCCC(C(=O)Nc2ccc(Cl)cc2)C1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,-9.417605107528,0
M2R-decoy_3531,CCCCNC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCC)N1CC[C@@H](c2ccccc2)[C@H](NC(=O)OC(C)(C)C)C1=O)C(C)C,-9.41483772538791,0
M2R-decoy_5827,COc1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\OCc3ccccc3)cc(N3CCCCS3(=O)=O)c2)c1,-9.41360103772663,0
