ligand_id,SMILES,dock38_score,is_active
ASD01820150,N#CC[N+]12CCC34c5ccccc5N5C6OCC=C7C[N+]8(CC#N)CCC9%10c%11ccccc%11N(C%11OCC=C(C1)C(CC32)C%11C54)C9C6C7CC%108,-35.69,1
ASD01820031,Clc1cccc(Cl)c1CON=Cc1cc[n+](CCC[n+]2ccccc2)cc1,-35.67,1
ASD01810029,COc1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CCNC3,-35.42,1
ASD01820014,CC12CCCCC1(C)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3ccccc3C1=O)C2=O,-35.28,1
ASD01820098,C[N+](C)(CC#CCOC1=NOCC1)CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O,-35.14,1
ASD01820225,C#CC[N+]12CCC34c5ccccc5N5C6OCC=C7C[N+]8(CC#C)CCC9%10c%11ccccc%11N(C%11OCC=C(C1)C(CC32)C%11C54)C9C6C7CC%108,-35.14,1
ASD01820013,CN1CCC=C(c2nsnc2OCCCCCCCCCC2CCN(CCCN3C(=O)CCc4ccccc43)CC2)C1,-35.13,1
ASD01820075,O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCCCCCO)CC1,-35.11,1
ASD01820035,CC[N+](CC)(CC)CCC[n+]1ccc(C=NOCc2c(Cl)cccc2Cl)cc1,-35.04,1
ASD01820023.1,CCCN(CCCCCCN1C(=O)c2ccccc2C1=O)CC1CCCCN1CCNC(=O)N1c2ccccc2C(=O)Nc2cccnc21,-35.04,1
ASD01820012,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,-35.03,1
ASD01830030,COc1cc2c(cc1OC)C13CC[N+]4(Cc5ccccc5)CC5=CCOC6CC(=O)N2C1C6C5CC34,-34.46,1
ASD01810330,CCCCC1CCN(CCCN2C(=O)CCc3ccccc32)CC1,-34.45,1
ASD01820034,C[N+](C)(C)CCC[n+]1ccc(C=NOCc2c(Cl)cccc2Cl)cc1,-34.06,1
ASD01820010,CN1CCC=C(c2nsnc2OCCCC2CCN(CCCN3C(=O)CCc4ccccc43)CC2)C1,-34.04,1
ASD01820076,O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCCCCCCCO)CC1,-34.01,1
ASD01828001,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,-33.98,1
ASD01820019,CC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,-33.87,1
ASD01820028,Cc1cc[n+](CCC[n+]2ccc(C=NOCc3c(Cl)cccc3Cl)cc2)cc1,-33.86,1
ASD01820026,CON=Cc1cc[n+](CCC[n+]2ccc(C=NOCc3c(Cl)cccc3Cl)cc2)cc1,-33.64,1
ASD01820115,O=C(NC(c1ccccc1Cl)C(F)(F)F)c1cn(-c2ncc(F)cc2F)c2nc(N3CC(O)CC3=O)ccc2c1=O,-33.57,1
ASD01820029,N#Cc1cc[n+](CCC[n+]2ccc(C=NOCc3c(Cl)cccc3Cl)cc2)cc1,-33.47,1
ASD01810329,CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,-33.37,1
ASD01820040,O=C1CCc2ccccc2N1CCCN1CCC(CCCCCO)CC1,-33.29,1
ASD01820018,CCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,-33.16,1
ASD01820189,CC(C)(CN1C(=O)c2ccccc2C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O,-33.03,1
ASD01820055,O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCO)CC1,-33.01,1
ASD01820108,O=C(NC(C1CC1)C(F)(F)F)c1cn(-c2c(F)cc(F)cc2Cl)c2nc(N3CC(O)CC3=O)ccc2c1=O,-33.0,1
ASD01820104,C[N+](C)(CC#CCOC1=NOCC1)CCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,-32.95,1
ASD01820072,O=C1c2ccccc2C(=O)N1CCCC[n+]1ccc(CCc2cc[n+](CCCCN3C(=O)c4ccccc4C3=O)cc2)cc1,-32.84,1
ASD01820103,C[N+](C)(CC#CCOC1=NOCC1)CC#Cc1ccccc1C#CC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O,-32.76,1
ASD01820117,CC(C)CC(NC(=O)c1cn(-c2ncc(F)cc2F)c2nc(N3CC(O)CC3=O)ccc2c1=O)C(F)(F)F,-32.71,1
ASD01820024.1,CCCN(CCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O)CC1CCCCN1CCNC(=O)N1c2ccccc2C(=O)Nc2cccnc21,-32.7,1
ASD01820113,CC(NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3CCNC3=O)ccc2c1=O)C(F)(F)C(F)(F)F,-32.7,1
ASD01820118,CCC(NC(=O)c1cn(-c2ncc(F)cc2F)c2nc(N3CC(O)CC3=O)ccc2c1=O)C(F)(F)C(F)(F)F,-32.65,1
ASD01820196,CC(C)(CN1C(=O)c2cccc3cccc(c23)C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN1C(=O)c2cccc3cccc(c23)C1=O,-32.51,1
ASD01820124,CCC(CC)(CC)NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3CC(O)C(O)C3)c(F)cc2c1=O,-32.46,1
ASD01820168,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cc3ccccc3cc2C1=O)CCCN1C(=O)c2ccccc2C1=O,-32.34,1
ASD01820116,CC(C)(C)C(NC(=O)c1cn(-c2ncc(F)cc2F)c2nc(N3CC(O)CC3=O)ccc2c1=O)C(F)(F)F,-32.3,1
ASD01810030,O=C1CCc2cc3c(c4c5cc(O)ccc5n1c24)CNCC3,-32.28,1
ASD01820119,CCC(NC(=O)c1cn(-c2ncc(F)cc2F)c2nc(N3CCNC3=O)ccc2c1=O)C(F)(F)C(F)(F)F,-32.06,1
ASD01820039,O=C1CCc2ccccc2N1CCCN1CCC(CCCO)CC1,-31.95,1
ASD01830026,COc1cc2c(cc1OC)C13CC[N+]4(CCl)CC5=CCOC6CC(=O)N2C1C6C5CC34,-31.86,1
ASD01820123,O=C(NC(C1CC1)C(F)(F)F)c1cn(-c2c(F)cc(F)cc2Cl)c2nc(N3CC(O)C(O)C3)c(F)cc2c1=O,-31.7,1
ASD01830017,N[N+]12CCC34c5ccccc5N5C(=O)CC6OCC=C(C1)C(CC32)C6C54,-31.57,1
ASD01810028,O=C1CCc2cc3c(c4c5ccccc5n1c24)CNCC3,-31.41,1
ASD01830028,COc1cc2c(cc1OC)C13CC[N+]4(N)CC5=CCOC6CC(=O)N2C1C6C5CC34,-31.13,1
ASD01820009,CC(C)(CN1C(=O)c2cccc3cccc(c23)C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC#CCOC1=NOCC1,-31.12,1
ASD01820043,CC(CN1C(=O)c2ccccc2C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(C)CN1C(=O)c2ccccc2C1=O,-31.04,1
ASD01830013,C=CC[N+]12CCC34c5ccccc5N5C(=O)CC6OCC=C(C1)C(CC32)C6C54,-30.73,1
ASD01820144,CC=CC[N+]12CCC34c5ccccc5N5C6OCC=C7C[N+]8(CC=CC)CCC9%10c%11ccccc%11N(C%11OCC=C(C1)C(CC32)C%11C54)C9C6C7CC%108,-30.54,1
ASD01820206,NCCc1ccc2ccccc2c1-c1ccc(-c2c(CCN)ccc3ccccc23)cc1,-30.4,1
ASD01820223,CCC[N+]12CCC34c5ccccc5N5C6OCC=C7C[N+]8(CCC)CCC9%10c%11ccccc%11N(C%11OCC=C(C1)C(CC32)C%11C54)C9C6C7CC%108,-30.39,1
ASD01820060,O=C1c2ccccc2C(=O)N1CON=Cc1cc[n+](CCC[n+]2ccc(C=NOCN3C(=O)c4ccccc4C3=O)cc2)cc1,-30.28,1
ASD01820061,O=C1c2ccccc2C(=O)N1CON=Cc1cc[n+](CCCC[n+]2ccc(C=NOCN3C(=O)c4ccccc4C3=O)cc2)cc1,-30.27,1
ASD01820126,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,-30.19,1
ASD01820121,CC(C)C(NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3CC(O)C(O)C3)c(F)cc2c1=O)C(C)C,-29.99,1
ASD01820022.1,CCCN(CCCN1C(=O)c2ccccc2C1=O)CC1CCCCN1CCNC(=O)N1c2ccccc2C(=O)Nc2cccnc21,-29.9,1
ASD01810033,O=C1CCc2cc3c(c4c5ccc(O)cc5n1c24)CNCC3,-29.85,1
ASD01820190,CC(C)(CN1C(=O)c2ccccc2C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN1C(=O)c2cccc3cccc(c23)C1=O,-29.82,1
ASD01820136,C=CC[N+]12CCC34c5cc(C)c(C)cc5N5C6OCC=C7C[N+]8(CC=C)CCC9%10c%11cc(C)c(C)cc%11N(C%11OCC=C(C1)C(CC32)C%11C54)C9C6C7CC%108,-29.78,1
ASD01820122,CCC(NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3CC(O)C(O)C3)c(F)cc2c1=O)C(F)(F)C(F)(F)F,-29.51,1
ASD01810034,COc1cc2c3c4c(cc5c3n(c2cc1OC)C(=O)CC5)CCNC4,-29.46,1
ASD01810017,COC(=O)c1ccc2c3c4c(cc5c3n(c2c1)C(=O)CC5)CNCC4,-29.45,1
ASD01820071,O=C1c2ccccc2C(=O)N1CCCC[n+]1ccc(-c2cc[n+](CCCCN3C(=O)c4ccccc4C3=O)cc2)cc1,-29.41,1
ASD01820162,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2nccnc2C1=O)CCCN1C(=O)c2ccccc2C1=O,-29.41,1
ASD01820054,C[N+](C)(CCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O)CCCN1C(=O)c2ccccc2C1=O,-29.09,1
ASD01820192,Cc1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN1C(=O)c3cccc4cccc(c34)C1=O)C2=O,-29.04,1
ASD01830018,O=C1CC2OCC=C3C[N+]4(Cc5ccccc5)CCC56c7ccccc7N1C5C2C3CC64,-29.02,1
ASD01810003,O=C1CCc2cc3c(c4c5c(O)cccc5n1c24)CCNC3,-29.01,1
ASD01820051,Cc1ccc2c(c1)C(=O)N(CC(C)(C)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3ccccc3C1=O)C2=O,-28.94,1
ASD01830025,COc1cc2c(cc1OC)C13CC[N+]4(C)CC5=CCOC6CC(=O)N2C1C6C5CC34,-28.93,1
ASD01820073,O=C1c2ccccc2C(=O)N1CCC[n+]1ccc(CCc2cc[n+](CCCN3C(=O)c4ccccc4C3=O)cc2)cc1,-28.82,1
ASD01820184,Cc1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN1C(=O)c3ccccc3C1=O)C2=O,-28.81,1
ASD01820216,C[N+](C)(CCCCCC[N+](C)(C)CCCN1c2ccccc2C(=O)NC1c1ccccc1)CCCN1c2ccccc2C(=O)NC1c1ccccc1,-28.58,1
ASD01820025,Clc1cccc(Cl)c1CON=Cc1cc[n+](CCC[n+]2ccc(C=NOCc3c(Cl)cccc3Cl)cc2)cc1,-28.56,1
ASD01820186,Cc1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN1C(=O)c3ccc(C)cc3C1=O)C2=O,-28.48,1
ASD01820003,C=CC[N+](C)(C)Cc1c2n(c3ccccc13)Cc1c(C[N+](C)(C)CC=C)c3ccccc3n1C2,-28.32,1
ASD01810032,COc1ccc2c3c4c(cc5c3n(c2c1)C(=O)CC5)CCNC4,-28.3,1
ASD01820164,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2ccc(C(F)(F)F)cc2C1=O)CCCN1C(=O)c2ccccc2C1=O,-28.2,1
ASD01820220,ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,-28.19,1
ASD01820069,O=C1c2ccccc2C(=O)N1CCC[n+]1ccc(CCCc2cc[n+](CCCN3C(=O)c4ccccc4C3=O)cc2)cc1,-27.88,1
ASD01810018,N#Cc1ccc2c3c4c(cc5c3n(c2c1)C(=O)CC5)CNCC4,-27.88,1
ASD01830021,O=C1CC2OCC=C3C[N+]4(CCc5ccc([N+](=O)[O-])cc5)CCC56c7ccccc7N1C5C2C3CC64,-27.75,1
ASD01820065,O=C1c2ccccc2C(=O)N1CCCON=Cc1cc[n+](CCCCC[n+]2ccc(C=NOCCCN3C(=O)c4ccccc4C3=O)cc2)cc1,-27.74,1
ASD01830020,O=C1CC2OCC=C3C[N+]4(CCc5cccc([N+](=O)[O-])c5)CCC56c7ccccc7N1C5C2C3CC64,-27.71,1
ASD01810016,O=C1CCc2cc3c(c4c5ccc(Cl)cc5n1c24)CCNC3,-27.54,1
ASD01830019,O=C1CC2OCC=C3C[N+]4(CCc5ccccc5)CCC56c7ccccc7N1C5C2C3CC64,-27.48,1
ASD01820049,Cc1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3ccccc3C1=O)C2=O,-27.35,1
ASD01820175,Cc1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3ccc(C)cc3C1=O)C2=O,-27.29,1
ASD01820045,CC(C)(CN1C(=O)c2ccccc2C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN1C(=O)c2ccccc2C1=O,-27.13,1
ASD01830014,C#CC[N+]12CCC34c5ccccc5N5C(=O)CC6OCC=C(C1)C(CC32)C6C54,-27.07,1
ASD01830009,C[N+]12CCC34c5ccccc5N5C(=O)CC6OCC=C(C1)C(CC32)C6C54,-27.04,1
ASD01830011,CCC[N+]12CCC34c5ccccc5N5C(=O)CC6OCC=C(C1)C(CC32)C6C54,-26.99,1
ASD01820205,COCCNCCCc1ccc2ccccc2c1-c1ccc(-c2c(CCCNCCOC)ccc3ccccc23)cc1,-26.91,1
ASD01820101,CC(C)(CN1C(=O)c2cccc3cccc(c23)C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC#CCOc1ccon1,-26.89,1
ASD01810007,COc1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-26.81,1
ASD01820111,CCC(NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3CC(O)CC3=O)ccc2c1=O)C(F)(F)C(F)(F)F,-26.8,1
ASD01810024,COC(=O)c1c2c(c3c4cc(OC)c(OC)cc4n4c3c1CCC4=O)CCNC2,-26.78,1
ASD01820002,C[N+](C)(C)Cc1c2n(c3ccccc13)Cc1c(C[N+](C)(C)C)c3ccccc3n1C2,-26.74,1
ASD01810005,COC(=O)c1cccc2c1c1c3c(cc4c1n2C(=O)CC4)CNCC3,-26.6,1
ASD01820120,CC(C)(C)C(NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3CC(O)C(O)C3)c(F)cc2c1=O)C(F)(F)C(F)(F)F,-26.57,1
ASD01830024.1,COc1cc2c(cc1OC)C13CC[NH+]4CC5=CCOC6CC(=O)N2C1C6C5CC43,-26.57,1
ASD01830027,COc1cc2c(cc1OC)C13CC[N+]4([O-])CC5=CCOC6CC(=O)N2C1C6C5CC34,-26.57,1
ASD01830010,CC[N+]12CCC34c5ccccc5N5C(=O)CC6OCC=C(C1)C(CC32)C6C54,-26.5,1
ASD01820058,C[N+](C)(CCCCCCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O)CCCN1C(=O)c2ccccc2C1=O,-26.42,1
ASD01820145,C1=CC([N+]23CCC45c6ccccc6N6C7OCC=C8C[N+]9(C%10C=CCCC%10)CCC%10%11c%12ccccc%12N(C%12OCC=C(C2)C(CC43)C%12C65)C%10C7C8CC%119)CCC1,-26.35,1
ASD01810008,O=C1CCc2cc3c(c4c5cc(O)ccc5n1c24)CCNC3,-26.23,1
ASD01820133,C=CC[N+]12CCC34c5ccccc5N5C=C6C7CC8C9(CC[N+]8(CC=C)CC7=CCO)c7ccccc7N(C=C(C(CC31)C(=CCO)C2)C54)C69,-26.11,1
ASD01830008.1,O=C1CC2OCC=C3C[NH+]4CCC56c7ccccc7N1C5C2C3CC46,-26.08,1
ASD01820050,Cc1ccc2c(c1)C(=O)N(CC(C)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3ccccc3C1=O)C2=O,-26.03,1
ASD01820112,CCC(NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3CC(O)C(O)C3)ccc2c1=O)C(F)(F)C(F)(F)F,-25.87,1
ASD01810035,CC1(C)CC(=O)n2c3ccccc3c3c4c(cc1c32)CCNC4,-25.74,1
ASD01810009,O=C1CCc2cc3c(c4c5cc(Cl)ccc5n1c24)CCNC3,-25.72,1
ASD01820067,O=C1c2ccccc2C(=O)N1C[n+]1ccc(CCCc2cc[n+](CN3C(=O)c4ccccc4C3=O)cc2)cc1,-25.72,1
ASD01820188,CC(C)(CN1C(=O)c2cccc3cccc(c23)C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,-25.68,1
ASD01810006,Cc1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-25.6,1
ASD01820213,C[N+](C)(CCCCCC[N+](C)(C)CCN=Cc1c(Cl)cccc1Cl)CCN=Cc1c(Cl)cccc1Cl,-25.23,1
ASD01820001,CN(C)Cc1c2n(c3ccccc13)Cc1c(CN(C)C)c3ccccc3n1C2,-25.16,1
ASD01820020,C[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,-25.09,1
ASD01820015,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O)CCCN1C(=O)CCC1=O,-25.07,1
ASD01820222,C[N+]12CCC34c5ccccc5N5C6OCC=C7C[N+]8(C)CCC9%10c%11ccccc%11N(C%11OCC=C(C1)C(CC32)C%11C54)C9C6C7CC%108,-24.81,1
ASD01810015,O=C1CCc2cc3c(c4c5ccc(O)cc5n1c24)CCNC3,-24.73,1
ASD01820125,CCC(NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3CC(CO)(CO)C3)c(F)cc2c1=O)C(F)(F)C(F)(F)F,-24.73,1
ASD01810022,O=C1CCc2cc3c(c4c5cc6c(cc5n1c24)OCO6)CCNC3,-24.71,1
ASD01820143,CC#CC[N+]12CCC34c5ccccc5N5C6OCC=C7C[N+]8(CC#CC)CCC9%10c%11ccccc%11N(C%11OCC=C(C1)C(CC32)C%11C54)C9C6C7CC%108,-24.67,1
ASD01830015,N#CC[N+]12CCC34c5ccccc5N5C(=O)CC6OCC=C(C1)C(CC32)C6C54,-24.59,1
ASD01810013.1,O=C1CCc2cc3c(c4c5cc(CN6CCOCC6)ccc5n1c24)CCNC3,-24.56,1
ASD01810026,COc1cccc2c1c1c3c(cc4c1n2C(=O)CC4(C)C)CNCC3,-24.56,1
ASD01810020,O=C1CCc2cc3c(c4c5cccc(O)c5n1c24)CCNC3,-24.22,1
ASD01820224,C=CC[N+]12CCC34c5ccccc5N5C6OCC=C7C[N+]8(CC=C)CCC9%10c%11ccccc%11N(C%11OCC=C(C1)C(CC32)C%11C54)C9C6C7CC%108,-24.16,1
