ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,is_active
M2R-decoy_2782,CC(C)(C)c1ccc2c(c1)[C@H]1O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]1CS2,-8.458,-9.482633728738218,-8.037618195096407,-8.90055254563703,-7.624700306037418,-5.907024196616026,-5.585118738656838,-8.291438950327564,-6.696951960914275,0
M2R-decoy_2783,O=C(NN(CCCc1ccccc1)CCCc1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,-11.021,-10.857633728738218,-10.231618195096406,-9.30855254563703,-8.963700306037417,-9.329024196616023,-7.883118738656838,-7.656438950327562,-8.497951960914275,0
M2R-decoy_2784,CC(C)OP(=O)(OC(C)C)C(Cc1cc(I)cc(C(C)(C)C)c1)P(=O)(OC(C)C)OC(C)C,-7.348,-6.458633728738219,-6.292618195096407,-6.99955254563703,-4.113700306037417,-3.725024196616026,-4.096118738656839,-5.3784389503275625,-5.135951960914275,0
M2R-decoy_2785,O=[P@@]1(c2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,-9.458,-8.67263372873822,-8.915618195096407,-8.56955254563703,-7.368700306037418,-6.289024196616026,-5.688118738656838,-6.288438950327564,-7.592951960914274,0
M2R-decoy_2786,COc1cc(OCc2cccc(OCc3ccccc3OC(F)(F)F)c2)c2cc(c3cn4nc(OC)sc4n3)oc2c1,-10.727,-9.91363372873822,-11.820618195096406,-9.43555254563703,-8.502700306037417,-9.441024196616024,-7.228118738656839,-7.738438950327563,-7.850951960914275,0
M2R-decoy_2787,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(Cc2ccccc2F)nn1,-10.692,-10.947633728738218,-10.439618195096406,-8.85255254563703,-8.108700306037418,-6.885024196616026,-6.780118738656839,-8.010438950327563,-7.929951960914275,0
M2R-decoy_2788,COc1ccc(C(=O)/C=C/c2ccc(OCCO[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@]64OO5)cc2)cc1Cl,-9.731,-8.936633728738219,-9.215618195096406,-8.78055254563703,-8.521700306037417,-9.091024196616026,-7.619118738656839,-6.801438950327563,-7.193951960914275,0
M2R-decoy_2789,CC(C)=CCC/C(C)=C/C[C@]12C[C@@H](CC=C(C)C)C(C)(C)[C@H](C(=O)C(C)C)C(=O)[C@](CC=C(C)C)(OC1=O)C2=O,-6.072,-5.872633728738219,-4.760618195096407,-5.19155254563703,-4.0157003060374175,-3.714024196616026,-4.005118738656838,-4.464438950327563,-4.015951960914275,0
M2R-decoy_279,Cc1oc2c(c1C)S(=O)(=O)C(C#N)=C(N(C)C)N2,-7.178,-6.460633728738219,-6.966618195096406,-6.06755254563703,-5.185700306037417,-4.432024196616026,-5.190118738656839,-4.880438950327563,-4.671951960914274,0
M2R-decoy_2790,CCOC(=O)CCNC(=O)c1ccc(CN2C(=O)N(c3ccc(OC(F)(F)F)cc3)CC23CCC(C(C)(C)C)CC3)cc1,-8.959,-8.165633728738218,-8.746618195096406,-7.38455254563703,-6.770700306037417,-6.659024196616025,-6.423118738656839,-6.097438950327563,-6.123951960914274,0
