ligand_id,SMILES,BE_min,is_active
M2R-decoy_4129,COc1cc(COC(=O)NC(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)on1,-10.2333966817322,0
ASD01810031,COC(=O)c1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CCNC3,-10.228330270659018,1
M2R-decoy_10091,CC(C)Oc1ccc(c2nc(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)c3oc4ccccc4c3n2)cc1,-10.213916598985309,0
M2R-decoy_7179,CC(C)(Cc1nc2cc(OCc3ccc4ccccc4n3)ccc2n1Cc1ccc(c2ccc(C(F)(F)F)nc2)cc1)C(=O)[O-],-10.213106216644809,0
M2R-decoy_4708,O=C(NCCN1C(=O)S/C(=C\c2cccnc2)C1=O)c1cccc(OC(F)F)c1,-10.1966394441293,0
M2R-decoy_8133,COc1ccc2c(OC[C@@H]3C[C@H]4C(=O)N(C)CCCC/C=C\[C@H]5C[C@]5(C(=O)NS(=O)(=O)C5(C)CC5)NC(=O)N34)cc(c3nc(C(C)C)cs3)nc2c1C,-10.185126941623306,0
ASD01810015,O=C1CCc2cc3c(c4c5ccc(O)cc5n1c24)CCNC3,-10.181738015572806,1
M2R-decoy_9169,O=c1cc(c2ccc(OCC[NH+](CCOc3ccc(c4cc(=O)c5ccccc5o4)cc3)Cc3ccncc3)cc2)oc2ccccc12,-10.17694425556932,0
ASD01810011,COC(=O)c1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-10.15086637798692,1
M2R-decoy_4871,CC(C)(Cc1nc2cc(OCc3ccc4ccccc4n3)ccc2n1Cc1ccc(c2ccc(NS(C)(=O)=O)cc2)cc1)C(=O)[O-],-10.118507852867106,0
M2R-decoy_9980,CC(C)Oc1ccc(c2cc(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CC[C@@H](C)C[C@@H](C)[C@H](NC(=O)OC(C)(C)C(F)(F)F)C(=O)N4C3)cc(c3ccncc3)n2)cc1,-10.111970810452506,0
ASD01810006,Cc1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-10.054242383485006,1
ASD01810033,O=C1CCc2cc3c(c4c5ccc(O)cc5n1c24)CNCC3,-10.045417255933708,1
M2R-decoy_1040,COCC(=O)N1CCN(c2ccc(NC(=O)N3Cc4ccccc4C3)cc2)CC1,-10.043371815160006,0
M2R-decoy_10725,O=[N+]([O-])c1cc(C(F)(F)F)cc2c1sc(C1=NCCO1)[n+]2[O-],-10.041386264053518,0
M2R-decoy_2088,CC(C)SC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,-10.0315695146428,0
M2R-decoy_8024,COc1ccc2c(O[C@H]3C[C@H]4C(=O)N(C)CCCC/C=C/[C@@H]5C[C@@]5(C(=O)NS(=O)(=O)C5(C)CC5)NC(=O)N4C3)cc(c3csc(C(F)(F)F)n3)nc2c1Cl,-10.0256749272931,0
M2R-decoy_7277,CC(C(=O)NCc1ccc(C(F)(F)F)cc1N1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,-10.021815654931906,0
M2R-decoy_5253,Cc1cc2ncn(CC(O)COc3cc4oc(=O)cc(C)c4cc3OCC(O)Cn3cnc4cc(C)c(C)cc43)c2cc1C,-10.018891530763506,0
ASD01810032,COc1ccc2c3c4c(cc5c3n(c2c1)C(=O)CC5)CCNC4,-10.018437510662906,1
