ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,is_active
M2R-decoy_4043,CC(C)(C)OC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](Cc1cn(C=O)c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)OCc1ccc(Cl)cc1,-9.89574223367317,-10.244413678305518,-7.000763735476666,-7.257744856844591,-7.071605532464188,-4.908921096107646,-4.6778035047279785,-4.841011768918203,-4.165053274668704,0
M2R-decoy_2710,CC(=O)NCC#CCC(NC(=O)C(Cc1cccc2ccccc12)Cc1cccc2ccccc12)C(=O)NC(CC1CCCCC1)[C@@H](O)CC(=O)N1CCOC(CC[NH3+])C1,-9.87001065395229,-6.980156682605658,-9.499195110689309,-7.338323142021931,-7.763364687403378,-8.805080278739926,-6.440616596349528,-5.954146763847193,-5.1595378707368855,0
M2R-decoy_6433,O=C(/C=C/c1ccc(C(O)(O)C(F)(F)F)cc1)Nc1ccc(c2nc3ccc([N+](=O)[O-])cc3n2O)cc1,-9.85176735237638,-7.702451661693479,-8.632848659951796,-4.21537017561797,-6.311247104159627,-6.893574854891895,-3.667983349523369,-3.641062248080503,-4.104309209523535,0
M2R-decoy_9956,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)C(=O)NC5CCCCC5)C(=O)N4C3)cc(c3nc(C4CC4)cs3)nc2c1C,-9.84472829561563,-9.835609885805118,-10.304058501235506,-5.85624590811951,-7.497718289967118,-7.660320324402406,-5.9450411576147495,-6.324354307703963,-7.155003763346514,0
ASD01810001,O=C1CCc2cc3c(c4c5ccccc5n1c24)CCNC3,-9.82887323253333,-9.34543566844832,-9.851042734987306,-6.4705144011102105,-7.600397173360198,-7.887621698253836,-6.408802105130079,-4.451642894324143,-7.483538973673275,1
ASD01810004,O=C1CCc2cc3c(c4c5c(Cl)cccc5n1c24)CCNC3,-9.82489202928464,-9.600108257058618,-9.973951285312006,-6.070854556153471,-7.435171954930807,-7.472707147696717,-6.070363127715629,-4.346563422529453,-7.225491215849974,1
M2R-decoy_10725,O=[N+]([O-])c1cc(C(F)(F)F)cc2c1sc(C1=NCCO1)[n+]2[O-],-9.80887706426866,-10.041386264053518,-9.314624742260806,-6.95895269963564,-7.935860205649957,-8.264224353017536,-5.062315625768779,-5.166049743714433,-7.530431108489875,0
M2R-decoy_6944,CN(C(=O)c1ccc(c2ccc(C(F)(F)F)cc2)cc1)C1CCN(C(=O)N(C)C2CC[NH+](CCS(=O)(=O)N3CCCC3)C2)C1,-9.79285869276387,-8.329685513043039,-10.004801292641709,-5.74430894298379,-7.793687166861348,-7.886501701593806,-5.544009666251709,-2.7843559128607227,-7.074804130056954,0
M2R-decoy_5047,CC(=O)Nn1c(Cc2csc(NC(=O)c3ccccc3)n2)nnc1SCSc1nnc(Cc2csc(NC(=O)c3ccccc3)n2)n1NC(C)=O,-9.78908952267956,-7.291526430379758,-8.765450310979466,-6.725951307836961,-7.807065375095547,-5.492017502063196,-4.387231541655169,-5.318387554188423,-4.358737036740935,0
M2R-decoy_9746,CS(=O)(=O)c1cc(Cl)c(NC(=O)N2CCN3C(=O)N([C@H]4C[C@@H]4c4ccccc4)C(=O)C3C2)c(Cl)c1,-9.77616179205111,-6.917145265981408,-7.676857984350276,-5.25798512173479,-4.328653807333107,-5.264619923402366,-4.619513281884719,-4.381388888745503,-5.066537607290565,0
M2R-decoy_4999,C=CC[C@@H](CC(=O)N[C@@H](CO)Cc1ccccc1)C(=O)N[C@H](COC(=O)[C@@H](CC=C)Cc1ccc(F)cc1)Cc1c[nH]c2ccccc12,-9.77300607109631,-8.116354146987078,-7.041173528368566,-6.74001959466752,-7.394151753548508,-5.670238561384686,-5.238075042703178,-6.172608884760663,-5.539202252525165,0
M2R-decoy_2746,CCC(C)[C@H](NC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)OC(C)(C)C)C(C)C)C(=O)NCc1ccccn1,-9.77188510811582,-8.103366597661129,-7.981229518242506,-8.05534846919301,-5.668385284896117,-6.9277868556560165,-4.624833554354199,-6.177099103137773,-7.589282890908075,0
M2R-decoy_8200,C#Cc1cccc(c2cc(O[C@H]3C[C@H]4C(=O)N(C)CCCC/C=C/[C@@H]5C[C@@]5(C(=O)NS(=O)(=O)C5(C)CC5)NC(=O)N4C3)c3ccc(OC)c(C)c3n2)c1,-9.77091090055051,-9.355917013471018,-9.439458747232608,-6.88672324579531,-7.986532220038248,-7.328294902473607,-4.556221823743079,-5.105653086170353,-6.590873949217054,0
M2R-decoy_8133,COc1ccc2c(OC[C@@H]3C[C@H]4C(=O)N(C)CCCC/C=C\[C@H]5C[C@]5(C(=O)NS(=O)(=O)C5(C)CC5)NC(=O)N34)cc(c3nc(C(C)C)cs3)nc2c1C,-9.76671843511964,-8.599751533050778,-10.185126941623306,-5.9963651662113,-7.903885249307667,-7.128393822510196,-4.148027496230188,-5.483218929241183,-7.139534971184995,0
M2R-decoy_4894,CC(C)c1ccc(c2nc(SCc3cn(CC(=O)NC(=O)Nc4ccccn4)nn3)nc(Nc3cccc([N+](=O)[O-])c3)c2C#N)cc1,-9.73904041585025,-6.945337872738168,-8.823257875797067,-5.74860045075458,-6.061173290683137,-7.333490994991665,-2.880326684791429,-3.048970577075633,-5.901890389122945,0
M2R-decoy_2675,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,-9.72670019934907,-8.33606632623347,-6.269619807720407,-7.583247648305621,-5.740415487581657,-8.912107670268925,-4.046732555812398,-5.805333004180653,-6.082656691009815,0
M2R-decoy_8420,CSC(=S)O[C@H]1[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H](COCc2ccccc2)O[P@@]1(=O)c1ccccc1,-9.72644067389976,-7.196476451539438,-7.121741990420136,-5.028761756813211,-5.167143741503438,-4.667264572627196,-3.5004673549724687,-4.815480010748183,-5.846133636599555,0
M2R-decoy_8186,COc1ccc2c(O[C@H]3C[C@H]4C(=O)N(C)CCCC/C=C/[C@@H]5C[C@@]5(C(=O)NS(=O)(=O)C5(C)CC5)NC(=O)N4C3)cc(c3csc(C(C)C)n3)nc2c1Cl,-9.71332589436321,-9.89534484119872,-9.612800494132909,-6.94327539432534,-7.650394306680807,-7.181695385046446,-3.698323939568039,-5.807381128531473,-6.589305195920964,0
M2R-decoy_3540,COc1ccc(CNC(=O)[C@@H](NC(=O)[C@H](Cc2cc(OC)c(OC)c(OC)c2)NC(=O)Cc2cccc(Oc3ccccc3)c2)C(C)C)c(O)c1,-9.69473904191955,-8.242825240684148,-7.603618530141157,-5.91224371703351,-4.613662504694248,-4.614292473980086,-5.765420716803989,-4.418929612504303,-3.715702750389005,0
ASD01810008,O=C1CCc2cc3c(c4c5cc(O)ccc5n1c24)CCNC3,-9.67631403548736,-9.494869289583118,-10.704845599215709,-6.4071557267804,-7.844015346148447,-8.121873892904206,-6.873007713450818,-4.019424181392823,-7.719345791663974,1
M2R-decoy_8096,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCC(=O)N4C3)cc(c3nc(C(C)C)cs3)nc2c1C,-9.67076747638132,-9.64951920935792,-9.759075609708509,-6.40459862094802,-7.695709144938498,-7.834244421095317,-3.9619289170839487,-5.195601937272773,-7.269631779834375,0
ASD01810016,O=C1CCc2cc3c(c4c5ccc(Cl)cc5n1c24)CCNC3,-9.66899285307745,-9.14583821064156,-9.649903354098406,-6.17682213624635,-7.999356035685288,-7.217930507780405,-5.352844988430128,-3.954341291710073,-7.226041870113775,1
M2R-decoy_7149,NC(=O)OCC(CNC(=O)Cn1nc(c2ccc(Cl)cc2)n(C[C@H](O)C(F)(F)F)c1=O)c1cccc(C(F)(F)F)c1,-9.66358978452974,-9.298206088261718,-8.664714821610556,-5.97840765169464,-7.183195933527818,-7.707069010540016,-5.818798451023579,-4.962661916143753,-6.835172504736395,0
M2R-decoy_4629,O=C(N[C@H](/C=C/S(=O)(=O)NOCc1ccccc1)CCc1ccccc1)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,-9.64931086389644,-6.707638512795318,-7.572722519430087,-6.75909649185583,-7.319846510451788,-7.602298740548836,-4.408041598371518,-3.3686604401249127,-6.137922611249865,0
M2R-decoy_11415,O=c1c2sccc2nc(SCc2cc(=O)n3ccccc3n2)n1Cc1ccccn1,-9.64490383720244,-7.181939008817358,-8.228449508155466,-4.90203546057981,-5.023844868229728,-5.833754253067476,-4.473379704537648,-5.346324452387043,-5.920803089668404,0
ASD01810026,COc1cccc2c1c1c3c(cc4c1n2C(=O)CC4(C)C)CNCC3,-9.61705118431686,-8.1402329943594,-9.180429008987764,-6.12125905016201,-6.836245024016467,-5.608249642094906,-3.837264682420189,-2.8688942897919425,-5.320783708756464,1
ASD01810033,O=C1CCc2cc3c(c4c5ccc(O)cc5n1c24)CNCC3,-9.60605908513482,-10.031435383713118,-10.045417255933708,-6.01828599571566,-8.385248434425877,-8.163939390782057,-6.02155236869246,-6.008336028122803,-6.932966535579014,1
M2R-decoy_6940,O=C(CCBr)NC[C@H]1O[C@@H](n2cc(Cc3ccc(C4CC4)cc3)c3c(Cl)cccc32)[C@H](O)[C@@H](O)[C@@H]1O,-9.60265043988325,-7.703862795794459,-10.331284904520206,-7.51747765022748,-7.718680193504937,-5.812406664774576,-6.616495147353609,-5.8786522978931925,-5.865542351693115,0
ASD01810014,COc1ccc2c3c4c(cc5c3n(c2c1)C(=O)CC5)CNCC4,-9.59389151391484,-9.539215062764018,-10.259794502811909,-6.10819616208782,-8.536709970297787,-7.795162849017236,-6.197196323565098,-3.686338753125793,-7.380451059115375,1
M2R-decoy_1853,Cc1cccc2c1S(=O)(=O)C[C@H]1[C@@H]2O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,-9.59135258239261,-7.319324311145749,-7.813725804636245,-6.4346068247718,-5.446691102890598,-5.703828425670206,-3.333450790516639,-4.543074633725083,-5.317074679527444,0
ASD01810022,O=C1CCc2cc3c(c4c5cc6c(cc5n1c24)OCO6)CCNC3,-9.57796569416301,-9.51343480175392,-9.425270606019906,-6.4251805561156905,-6.749705150912028,-7.839683500724057,-6.993708382430199,-4.220311111664843,-6.586778733307435,1
ASD01810002,COc1cccc2c1c1c3c(cc4c1n2C(=O)CC4)CNCC3,-9.56625361258629,-7.914145186670618,-9.098417036424896,-5.564992653728671,-6.481304567618747,-6.832251087216546,-6.3807181687819785,-3.2629762831414126,-6.797597553040664,1
M2R-decoy_3080,CCOc1ccc(n2c(SCc3ccc(C#N)cc3)nnc2c2cccnc2)cc1,-9.5424329182018,-5.630969870273189,-5.411692494054506,-3.19768188073147,-5.326539988876857,-5.864219486139906,-1.6835588586846288,-3.5113544767704727,-4.836151121636835,0
M2R-decoy_7961,CC(C)Oc1ccc(c2cc(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CC[C@@H](C)C[C@@H](C)[C@H](NC(=O)OC(C)(C)C(F)(F)F)C(=O)N4C3)cc(n3cccn3)n2)cc1,-9.53874881929088,-7.820331243781068,-11.013608960170506,-5.834215477561941,-6.445347425413898,-7.282056894020997,-2.752074209873019,-6.038873750192873,-5.982951412982125,0
ASD01810007,COc1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-9.53319737543748,-9.223308792560209,-9.871973672428409,-5.65283773647595,-7.261998718541857,-8.050475237578826,-6.422852847225329,-4.536890126729373,-6.367570311533134,1
M2R-decoy_4654,CC(C)c1nc(CN(C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,-9.52615715926738,-5.872078035967588,-8.228241495408236,-5.71569311704614,-4.125260352570957,-4.142272625361826,-3.3193430927652585,-4.556208821236143,-7.567590667462575,0
M2R-decoy_9500,CC(C)CN(Cc1csc(C(C)C)n1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1,-9.52350343864384,-6.570351482360788,-3.820484075577676,-5.35295810155051,,-4.459789015674616,-3.5281488803782084,-5.514234303814513,-5.357807189883555,0
M2R-decoy_11220,Cc1ncc(COc2cc(/C=C3\SC(=O)N(C)C3=O)c(Br)cc2O)cn1,-9.51886089619577,-7.918152549167578,-8.192601468325247,-6.05249356064826,-7.023500598577607,-6.311418232090816,-3.966302108033388,-3.869569687113073,-5.301261515568095,0
M2R-decoy_1904,CCOc1ccc(n2c(SCC(=O)NC3CCS(=O)(=O)C3)nnc2c2cccnc2)cc1,-9.50947339224029,-6.966871273086708,-7.273262095408326,-3.21203120089902,-5.492332220592587,-4.650771244328926,-1.573618862105849,-2.793580140910243,-4.431253057786044,0
M2R-decoy_4794,CC(=O)Oc1ccc(/C=C/C(=O)NCCSc2nc(c3ccc(S(C)(=O)=O)cc3)n(c3ccc(F)cc3)n2)cc1OC(C)=O,-9.50814675916759,-8.329667035306498,-9.809677386095506,-2.3529557719261303,2.9187263652516124,-1.7765983146886055,-2.534394990361939,-2.8158863445956728,-2.0305933004457253,0
M2R-decoy_8127,CCOC1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](Oc3cc(c4nc(C(C)C)cs4)nc4c(C)c(OC)ccc34)CN2C1=O,-9.50749808141092,-9.240895094954288,-9.106692494914986,-5.768563896945071,-6.9133868893891375,-7.941857800825035,-3.5167680342525385,-4.875078365651753,-6.374510758391674,0
ASD01810010,O=C(O)c1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-9.50512069214148,-9.48093217129592,-9.659639424840408,-6.1894926848691805,-7.689839870579258,-8.221746790438527,-6.448742322574239,-4.888766201887343,-7.907577529495374,1
ASD01810030,O=C1CCc2cc3c(c4c5cc(O)ccc5n1c24)CNCC3,-9.48297160473604,-9.541848005308118,-9.851807461613706,-6.02052474577228,-8.273002457919317,-8.076132333378336,-6.239920945611569,-4.510452862157403,-7.133682862224054,1
M2R-decoy_9978,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)N5CCOCC5)C(=O)N4C3)cc(c3nc(C(C)C)cs3)nc2c1C,-9.48051036260685,-10.66829155964462,-10.250928007736409,-5.96034469304631,-6.940179944198478,-9.075730697901326,-4.314868552444328,-4.872883195050903,-7.580529839659574,0
M2R-decoy_3509,CC(=O)N[C@@H](COCc1ccccc1)C(=O)N[C@H](CCc1ccc(C(F)(F)F)cc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NO,-9.47406659090209,-7.835839605440389,-7.052510589110747,-5.298252338312071,-5.290025930332657,-7.904696034039876,-4.048936690354289,-3.707975267379383,-5.978555679582035,0
M2R-decoy_8181,COc1ccc2c(OCC[C@@H]3NC(=O)N(C)CCCC/C=C\[C@@H]4C[C@@]4(C(=O)NS(=O)(=O)C4(C)CC4)NC3=O)cc(c3nc(C(C)C)cs3)nc2c1Br,-9.47361196731896,-8.927729693102199,-8.388653514263666,-6.2142255471167305,-7.019021183302847,-7.086022946469496,-4.339602753870358,-6.429164092218873,-6.783218303653005,0
M2R-decoy_5058,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCc1ccccn1,-9.47340330639151,-7.330611485739348,-9.320255513418504,-6.63527064344208,-6.871202774189218,-6.480025521845356,-5.356207510309899,-5.385733662797133,-6.195998177466185,0
M2R-decoy_2666,CN(CCc1ccccn1)C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1,-9.47319888406696,-8.043793999209859,-7.652383385405367,-6.971904114155,-6.014009897261717,-7.2731638955041955,-5.176903663438489,-6.123801186313103,-5.922185695180504,0
