ligand_id,SMILES,BE_avg,is_active
CCR2-decoy_464,CC1=CCC[C@H]2[C@@]1(C)[C@@H](OC(=O)c1cccnc1)[C@H](OC(=O)c1cccnc1)[C@](C)(O)[C@]2(C)/C=C\C1=CC(=O)OC1,-7.994246909647498,0
CCR2-decoy_147,O=C([O-])COc1cccc2c1CCC(Cn1ncc(c3ccccc3)c(c3cccc(F)c3)c1=O)C2,-7.990146909647498,0
CCR2-decoy_425,COc1ccc(/C=N/n2c(S)nnc2Cn2nc(Cc3ccc(C)cc3)n(CCc3c[nH]c4ccccc34)c2=O)cc1,-7.988846909647497,0
CCR2-decoy_319,CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2cccc(C(C)=O)c2)C(=O)O1)C(C)C,-7.987146909647498,0
CCR2-decoy_401,O=C(NCc1ccco1)c1cccc2c1C(=O)c1ccc(N3CCC(Cc4ccccc4)CC3)cc1S2(=O)=O,-7.9804469096474975,0
CCR2-decoy_469,CC(C)C(=O)N1C[C@H](C)N(c2nc3cc(c4nc(=O)o[nH]4)nc(c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)[C@@H](C)C1,-7.977146909647499,0
CCR2-decoy_131,Cc1ccc(C(=O)OCC2OC(N3C=CSCC3=O)C[C@H]2OC(=O)c2ccc(C)cc2)cc1,-7.9755469096475,0
CCR2-decoy_386,Cc1ccc(C(=O)Nc2cc(N(C)CC[NH+](C)C)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(NCCc3ccccc3)nc12,-7.966646909647499,0
CCR2-decoy_157,O=C([O-])COc1cccc2c1CCC(Cn1cc(C(c3ccccc3)c3cccnc3)cn1)C2,-7.959146909647501,0
CCR2-decoy_548,CCCc1c(Cc2ccc(c3ccccc3c3nc(=O)o[nH]3)cc2)c(=O)n([C@H]2CC[C@H](OCC(C)=O)CC2)c2ccnn12,-7.956746909647499,0
CCR2-decoy_64,O=C([O-])c1ccc(Oc2nccc(c3c(c4ccc(F)cc4)ncn3C3CC[NH2+]CC3)n2)cc1,-7.948446909647498,0
CCR2-decoy_110,COc1cccc([C@@H]2C[C@@H](SCc3ccccc3)[C@H](C(=O)[O-])CN2S(=O)(=O)c2ccc(C)cc2)c1,-7.946046909647498,0
CCR2-decoy_382,Cc1ccc(C(=O)CC2=Nc3nnc(CCCCCCCc4nnc5n4C(=O)C(CC(=O)c4ccc(C)cc4)=N5)n3C2=O)cc1,-7.9405469096475,0
CCR2-decoy_435,Cc1ccc(NCc2cn(Cc3nc4cccc(C)c4c(=O)n3c3ccccc3C(F)(F)F)nn2)cc1C,-7.9368469096475,0
CCR2-decoy_482,CCCCc1nc(C)c(CCC(=O)N2CC(C)OC(C)C2)c(=O)n1Cc1ccc(c2ccccc2C2=NN=NN2)cc1,-7.932246909647498,0
CCR2-decoy_522,COc1ccc(c2ccc3c(N4CCOC[C@@H]4C)nc(c4cccc(c5ccccc5)c4)nc3n2)cc1CO,-7.930846909647499,0
ASD10910012,O=C(NCc1c[nH]nn1)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,-7.9244469096475,1
CCR2-decoy_297,CC(Cc1c[nH]c2ccccc12)(NC(=O)OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)C(=O)NCC[C@H](NC(=O)CCC(=O)[O-])c1ccccc1,-7.917946909647499,0
CCR2-decoy_243,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)N1CCCCC1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1COc1ccc(F)cc1,-7.901646909647499,0
CCR2-decoy_287,Cc1cc(N)cc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC1COC2OCCC12,-7.8870469096474976,0
CCR2-decoy_380,O=c1cc(c2ccccc2)oc2cc(OCCOCc3cn(CCOc4cccc5c(=O)cc(c6ccccc6)oc45)nn3)ccc12,-7.878446909647501,0
CCR2-decoy_452,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccc(O)cc1)C(=O)NC1c2ccccc2C[C@@H]1O,-7.863946909647498,0
CCR2-decoy_345,COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)C2(C#N)CCOCC2)cc1,-7.8419469096475,0
CCR2-decoy_402,Cc1ccc(n2nc(C3CCN([S+]([O-])c4sc(C)nc4C)CC3)cc2NC(=O)c2cnn3cccnc23)cc1,-7.839846909647498,0
CCR2-decoy_711,Nc1cncc(c2ccc3noc(c4ccc(C(F)(F)F)cc4)c3c2)n1,-7.8273469096475,0
CCR2-decoy_136,CN(C)c1ccc(Cn2cnc3c2C[C@@H](C(=O)[O-])N(C(=O)C(c2ccccc2)c2ccccc2)C3)cc1,-7.815446909647498,0
