ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
CCR2-decoy_374,CCOC(=O)[C@H]1CCCN(C(=O)CCC(=O)N(CC(C)(C)C)c2c(OCC)cc(Cl)cc2[C@H](O)c2ccccc2OC)C1,-8.692,-7.648374388338555,-7.3268486977007665,-6.494211077558536,-5.546760803510968,-4.804454002256838,-5.103813445779803,-5.888011469330319,-4.245311208185882,-4.817684003813326,0
CCR2-decoy_375,COc1ccc2c(c1)c(CC(N)=O)c(C)n2Cc1ccccc1OCCCCOc1ccccc1Cn1c(C)c(CC(N)=O)c2cc(OC)ccc21,-9.217,-7.177374388338554,-7.806848697700765,-6.836211077558536,-6.332760803510968,-5.461454002256838,-4.997813445779803,-5.678011469330318,-5.128311208185882,-5.303684003813327,0
CCR2-decoy_376,CCCCCCCCCCCC(=O)Nc1nnc(S[C@@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)s1,-7.609,-6.700374388338554,-6.576848697700766,-5.717211077558536,-5.160760803510968,-3.814454002256838,-4.428813445779803,-5.048011469330318,-3.729311208185882,-4.197684003813326,0
CCR2-decoy_377,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSc1ccc(C(F)(F)F)cc1)NS(C)(=O)=O,-10.279,-8.902374388338554,-8.479848697700765,-7.954211077558536,-7.035760803510968,-5.407454002256838,-5.786813445779803,-7.280011469330319,-5.879311208185882,-6.063684003813327,0
CCR2-decoy_378,CC(C)SC[C@H](O)[C@H](CC12CC3CC(CC(C3)C1)C2)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,-8.852,-7.832374388338554,-7.970848697700767,-7.419211077558536,-5.855760803510968,-5.697454002256837,-5.605813445779804,-6.872011469330319,-5.580311208185883,-5.556684003813327,0
CCR2-decoy_379,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)C(O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2cccc(C(F)(F)F)c2)C(=O)O1,-11.227,-9.866374388338556,-9.640848697700768,-9.497211077558536,-8.251760803510969,-7.397454002256838,-7.855813445779804,-8.510011469330319,-7.0153112081858815,-7.249684003813327,0
CCR2-decoy_38,COC(=O)C1C([O-])=C(/C(C)=N/c2cccc3ccccc23)C(=O)CC1(C)C,-9.632,-8.921374388338554,-9.027848697700763,-8.469211077558537,-6.675760803510968,-6.633454002256837,-6.381813445779804,-7.415011469330318,-6.078311208185882,-6.4026840038133255,0
CCR2-decoy_380,O=c1cc(c2ccccc2)oc2cc(OCCOCc3cn(CCOc4cccc5c(=O)cc(c6ccccc6)oc45)nn3)ccc12,-11.715,-9.821374388338556,-9.614848697700763,-8.345211077558536,-7.738760803510969,-6.758454002256837,-6.356813445779803,-6.861011469330318,-4.9013112081858825,-6.671684003813326,0
CCR2-decoy_381,CCCCCC1=C(C(=O)NCCC[NH+]2CCC(c3ccccc3)(c3ccccc3)CC2)C(c2ccc([N+](=O)[O-])cc2)C(C(=O)NCC)=C(CC)N1,-10.163,-8.682374388338554,-8.698848697700766,-7.354211077558537,-6.531760803510968,-6.157454002256838,-6.007813445779803,-7.393011469330318,-5.916311208185883,-6.119684003813326,0
CCR2-decoy_382,Cc1ccc(C(=O)CC2=Nc3nnc(CCCCCCCc4nnc5n4C(=O)C(CC(=O)c4ccc(C)cc4)=N5)n3C2=O)cc1,-10.819,-8.919374388338554,-9.338848697700763,-8.572211077558537,-7.442760803510968,-6.803454002256837,-6.404813445779803,-8.415011469330318,-6.020311208185882,-6.669684003813327,0
