ligand_id,SMILES,BE_avg,is_active
CCR2-decoy_344,CCc1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)co1,-5.624381758372822,0
CCR2-decoy_189,CCN(CC)C(=O)Cn1cc(S(=O)(=O)CC(=O)N2CCCCCC2)c2ccccc21,-5.619993332455211,0
CCR2-decoy_746,CN(C)c1ccc(c2nc3ncnc(N)c3cc2Cc2ccccc2)cc1,-5.61135242166031,0
CCR2-decoy_190,CC(C(=O)[O-])c1ccc(CSc2nc(SCc3ccccc3F)[nH]c(=O)n2)cc1,-5.6008575904931055,0
CCR2-decoy_233,CC(C)c1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2ccno2)C(C)C)co1,-5.596558339219412,0
CCR2-decoy_250,CC(C)C(NC(=O)N(C)Cc1csc(C(C)(C)C)n1)C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,-5.591662961048111,0
ASD10910008,O=C(NCCOCCOCCn1ccnn1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-5.559754756701733,1
CCR2-decoy_315,CCCCC(NC(=O)[C@@H](Cc1c(Br)[nH]c2ccccc12)NC(=O)C(CC(C)C)NC(=O)N1[C@@H](C)CCC[C@H]1C)C(=O)[O-],-5.553034418013398,0
CCR2-decoy_275,CC(C)C(NC(=O)N(C)Cc1cscn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,-5.513065307802639,0
CCR2-decoy_537,O=c1n(Cc2nc(c3ccccc3C(F)(F)F)no2)nc(c2ccc(Cl)cc2)n1C[C@H](O)C(F)(F)F,-5.483733368247991,0
CCR2-decoy_623,CCC1=NN(c2ccc(F)cc2)C(=O)C1Oc1ccccc1,-5.458475879890478,0
CCR2-decoy_204,CCN(Cc1csc(C(C)C)n1)C(=O)NC(C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)OCc1cncs1,-5.457243277330212,0
