ligand_id,SMILES,BE_min,is_active
CCR2-decoy_272,CC1(C)C2CC1[C@]1(C)OB(C(CCC/C(S)=N/N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)NC(=O)OCc3ccccc3)O[C@@H]1C2,-8.60839096329851,0
CCR2-decoy_228,Cc1ncc(COC(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)C(NC(=O)N(C)Cc2csc(C(C)C)n2)C(C)C)s1,-8.59333886552957,0
CCR2-decoy_614,Cc1cccc(n2ncc(C)c2c2cc3ccncc3s2)n1,-8.58796360465726,0
CCR2-decoy_319,CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2cccc(C(C)=O)c2)C(=O)O1)C(C)C,-8.55179820297806,0
CCR2-decoy_274,Cc1cncc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)n1,-8.52701169686416,0
CCR2-decoy_33,CSc1nc2ccsc2c(=O)n1CC(=O)N(C)c1ccccc1,-8.51883287803747,0
CCR2-decoy_306,CC(C)CC(NC(=O)[C@@H](Cc1c(Br)[nH]c2ccccc12)NC(=O)C(CC(C)C)NC(=O)N1[C@@H](C)CCC[C@H]1C)C(=O)[O-],-8.50194643024911,0
CCR2-decoy_250,CC(C)C(NC(=O)N(C)Cc1csc(C(C)(C)C)n1)C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,-8.48909713623428,0
CCR2-decoy_388,O=C(Cc1cc2ccccc2o1)Cc1nnc(CCSCCc2nnc(NC(=O)Cc3cc4ccccc4o3)s2)s1,-8.4582622051703,0
CCR2-decoy_324,COc1ccc(COC(=O)NC(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)nc1,-8.42749081382618,0
