ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
ASD10910011,O=C(NCc1c[nH]nn1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1,-8.93816057482951,-6.624350063643254,-7.237027799984856,-6.541880372277307,-5.508553013432178,-4.687052095549108,-4.063198545569343,-4.781932316799729,-3.752324063871132,-4.768602199058966,1
CCR2-decoy_288,C=CC[C@@H](CC(=O)N[C@@H](CO)Cc1ccccc1)C(=O)NC[C@@H](OC(=O)[C@@H](CC=C)CC(=O)OC(C)(C)C)c1ccccc1,-8.83969394686388,-5.363501247519614,-4.487219517190086,-6.033734846139145,-3.772045990238568,-3.468765453474358,-4.293475210456653,-5.1816528184219095,-2.737889026187593,-3.862710297128906,0
CCR2-decoy_311,CCCCCOC(=O)[C@H](Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/C(=O)OC)c(=O)[nH]c2=O)C[C@@H]1O)Oc1cccc2ccccc12,-8.83854518526229,-5.025458013984354,-6.303502319296326,-6.517038816241197,-6.275220917430488,-5.626122855963368,-7.555951321426003,-6.490456799820519,-5.669781692974983,-4.910337651052716,0
CCR2-decoy_394,COc1ncc(Cc2cn(CCCC(=O)NCc3ccc(c4ccccc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,-8.80087620808051,,-5.438659140767466,-5.424825905324775,-4.313848810991078,-2.8088125362967773,-0.465508604845283,-3.195105040462649,-3.3220446069086726,-2.8273858300032666,0
CCR2-decoy_488,CSc1nn2cc(c3nc4c(OC[C@@H]5CCCN5C(=O)[C@H](NC(=O)c5ccccc5)c5ccccc5)cccc4o3)nc2s1,-8.79802196784938,-6.892309706743254,-5.890933577014006,-6.202345580380207,-4.325333595277228,-3.851426784060547,-2.2685922464954427,-4.405077463399749,-3.5203467815802325,-4.058869101726776,0
CCR2-decoy_270,CCOC(=O)[C@@H](NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)C[C@@H]1O)Oc1cccc2ccccc12)C(C)C,-8.74461334246291,-7.570185227985354,-7.072618783962586,-5.624497023018035,-5.399041410250898,-5.405536718854458,-5.891931686043304,-6.399362434342079,-4.366108066907523,-4.168717944863606,0
CCR2-decoy_141,COC(=O)c1cc(F)c(F)cc1c1ccc(OCc2cccc(C(=O)N3CCC[C@H]3C(=O)[O-])c2)cc1,-8.70837296300475,-4.115411194230654,-4.496634212265316,-3.971761311802006,-3.309383375928138,-1.635950301161298,-2.194819404197913,-3.48919340529548,-2.4123922899619226,-2.196464170187146,0
CCR2-decoy_738,O=C(COC(=O)c1ccc2ccccc2c1)c1cc2c3c(c1)CC(=O)N3CCC2,-8.70083280304288,-6.539384991285654,-6.901637046200566,-5.847623273468576,-4.334055485273908,-3.750678475081438,-4.383031834342953,-2.370102128539569,-4.1572172789192825,-4.769725264964226,0
CCR2-decoy_204,CCN(Cc1csc(C(C)C)n1)C(=O)NC(C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)OCc1cncs1,-8.69594975957481,-5.218775163600994,-6.112316500297516,-4.964464835366867,-5.304544205403748,-4.666507715062967,-4.616192896791183,-5.99883477917574,-4.266782734110103,-4.728064183918196,0
CCR2-decoy_756,COc1ccc(C2COc3cc(O)cc(O)c3C2=O)cc1,-8.64622918128183,-6.552858473373634,-6.184947444287726,-5.460017237317185,-4.466444615741798,-4.064941261347178,-4.568943831392583,-4.51082999331414,-2.8662924747322327,-3.9968210245086864,0
CCR2-decoy_603,Cc1cccc(Cn2nc(C)n3c(cc4cc(C)ccc43)c2=O)c1,-8.64420531880815,-6.338356059188554,-5.257558074444386,-6.192614199325897,-2.098103640780578,-3.9716447173042777,-2.575530851694973,-4.941006131397469,-2.3712275786048327,-5.257285022365677,0
CCR2-decoy_364,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C[C@@H](NC(=O)c1ccc2ccccc2c1)c1ccccc1)C(=O)[C@@]1(C)CO1,-8.63436468250114,-5.597118520707424,-6.834020766723196,-5.786077337200526,-4.970136598957188,-4.071459863940888,-5.074618100512822,-3.75670821432188,-3.7579701794763727,-4.778137747153316,0
