ligand_id,SMILES,glide_gscore,is_active
ASD10910005,O=C(CCCn1ccnn1)C1=C(O)C(=O)N(c2ccc(Br)cc2F)C1C1CCCCC1,-7.55200080469672,1
CCR2-decoy_185,O=C(Cc1ccccc1)OC1C=CC(n2ccc(=O)n(Cc3cc(F)cc(F)c3)c2=O)C1,-7.53932373393542,0
CCR2-decoy_13,O=C(OCc1ccccc1)[C@@H]1COC(c2cccc(Br)c2)=N1,-7.52398295642841,0
ASD10910011,O=C(NCc1c[nH]nn1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1,-7.51858245970233,1
ASD10910017,O=C(O)c1ccccc1Oc1ccc(Cl)cn1,-7.51168095308773,1
CCR2-decoy_594,O=C1C[C@H](Sc2ccccc2)[C@H]2CO[C@@H]1O2,-7.49579629567432,0
CCR2-decoy_11,Cc1c(C(F)(F)F)n(c2nc(C(=O)[O-])cs2)nc1c1ccccc1,-7.49440481644612,0
CCR2-decoy_322,CCCN1C[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)OC1=O,-7.47946107172747,0
ASD10910010,O=C(NCc1c[nH]nn1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-7.46986147232656,1
CCR2-decoy_716,Cc1nc2ccnn2c(c2ccc(Cl)c(Cl)c2)c1C(=O)N1CCCCC1,-7.46796766544089,0
CCR2-decoy_791,CC(=O)N1CCc2[nH]nc(Nc3ccc(F)cc3)c2C1,-7.46012852200267,0
CCR2-decoy_767,COCCC(=O)N1CCCC1c1cccc(C)c1C,-7.38687247411927,0
CCR2-decoy_565,Cc1cc(C(F)(F)F)nn1CC(=O)N1CCCC1,-7.38521547598807,0
CCR2-decoy_702,COc1cc(c2nc(O)c3c4c(sc3n2)CCCC4)cc(Cl)c1O,-7.37974349782459,0
CCR2-decoy_778,O=C(C1=CC(=O)c2ccccc2C1=O)c1cccc(F)c1,-7.37880128531655,0
CCR2-decoy_751,CC(C)[C@H](NC(=O)c1ccccc1)c1n[nH]c(=S)o1,-7.36990692212295,0
CCR2-decoy_605,COc1nn2cc(c3ccc(F)c(C(F)(F)F)c3)nc2s1,-7.3558036154614,0
CCR2-decoy_574,CCN1C(=O)C(=O)N(c2c(C)cccc2C)C1=S,-7.35383651779854,0
CCR2-decoy_166,COc1ccnc(CN(C)C(=O)C2CCC(=O)N(Cc3cccc(C(F)(F)F)c3)C2)c1,-7.32919093191533,0
CCR2-decoy_687,O=C(NN=C1CCCC1)c1ccccc1O,-7.32516696707945,0
CCR2-decoy_425,COc1ccc(/C=N/n2c(S)nnc2Cn2nc(Cc3ccc(C)cc3)n(CCc3c[nH]c4ccccc34)c2=O)cc1,-7.31979355337564,0
CCR2-decoy_689,OCc1ccncc1NCc1ccccc1,-7.30153956352706,0
CCR2-decoy_666,O=C1CCC[C@@H]([C@H]2C[C@@H]2c2ccccc2)O1,-7.29737256167143,0
ASD10910009,O=C(NCCOCCOCCn1ccnn1)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,-7.25650135087545,1
CCR2-decoy_579,Clc1ccc(c2nnnn2c2ccccn2)cc1,-7.2503348277057,0
CCR2-decoy_281,CC(C)(C)OC(=O)N[C@@H](CC(=O)OCc1ccccc1)C(=O)N[C@@H](CCCC[NH2+]C(=O)OCc1ccccc1)C(=O)OC(C)(C)C,-7.22891371633276,0
CCR2-decoy_746,CN(C)c1ccc(c2nc3ncnc(N)c3cc2Cc2ccccc2)cc1,-7.22247291573429,0
CCR2-decoy_10,Cc1c(CCC(=O)[O-])c(=O)oc2cc3occ(c4ccccc4)c3cc12,-7.21906278052105,0
CCR2-decoy_747,CCCCCN1C(=O)C2(CC(=O)c3cc4c(cc32)OCO4)c2ccccc21,-7.21261625892374,0
CCR2-decoy_782,COc1nn(Cc2cccc(c3ccccc3)c2)c(=O)o1,-7.20997736466509,0
CCR2-decoy_550,CC(C)n1cc(Br)cc(C(=O)Nc2cc(C#N)ccc2N2CCC(Oc3ccc(F)cc3F)CC2)c1=O,-7.20958649886223,0
CCR2-decoy_613,CCCC(=O)Nc1n[nH]c2cc(c3ccc(F)cc3)ccc12,-7.20643308715348,0
CCR2-decoy_758,O=C(Cc1nc2ccccc2[nH]1)N/N=C/c1ccccc1,-7.19495958522126,0
CCR2-decoy_33,CSc1nc2ccsc2c(=O)n1CC(=O)N(C)c1ccccc1,-7.19226887978286,0
CCR2-decoy_202,CC(C)C[C@@H](C(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1)N1C(=O)c2cccc3c(NCCSc4ccccc4)ccc(c23)C1=O,-7.19101461210057,0
CCR2-decoy_393,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(NC(=O)/C=C/c3ccccc3)nc2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,-7.18150040580576,0
CCR2-decoy_616,O=C(CSc1nc2ccccc2[nH]1)c1ccc(O)c(Cl)c1,-7.15994937351064,0
CCR2-decoy_624,Cn1c(SCc2ccccc2F)nnc1c1ccccn1,-7.15675276009239,0
CCR2-decoy_4,O=C(c1cc(COc2c(F)cccc2F)on1)N1CCSCC1,-7.12463321460875,0
CCR2-decoy_697,OCc1ccc(Sc2nc3ccccc3[nH]2)o1,-7.10225973508017,0
CCR2-decoy_650,CC(C)(O)c1ccc(c2nc3c(Cl)cccc3c(=O)[nH]2)cc1,-7.08322713942708,0
CCR2-decoy_656,COc1cccc2oc(C(=O)C[S+](C)[O-])cc12,-7.07489808542585,0
CCR2-decoy_754,CCOC(=O)c1c2cccccc2n2c(=O)cc(C)nc12,-7.06318588422289,0
CCR2-decoy_752,Cc1ccc(S[C@H]2CC(=O)[C@@H]3OC[C@H]2O3)cc1,-7.05875129523852,0
CCR2-decoy_162,O=C(CSc1nc2ccccc2c(=O)n1c1ccc(F)cc1)Nc1ccc(C(=O)[O-])cc1,-7.04437293794127,0
CCR2-decoy_769,COC(=O)c1ccc(O)c(NC(=O)Cc2ccccc2)c1,-7.04417863603803,0
CCR2-decoy_491,COc1ccc2nc(NC(=O)C(=O)C(C(=O)c3ccccc3c3ccccc3)C3OC(=O)c4ccccc43)sc2c1,-7.03562401506947,0
CCR2-decoy_607,CCc1cccc(NC(=O)C(=O)c2c[nH]c3ccccc23)c1,-7.0228754340323,0
CCR2-decoy_519,COc1ccccc1n1c(SCC(=O)Nc2nc3ccc(C(F)(F)F)cc3s2)nc2c(c1=O)SCC2,-7.01499024977097,0
CCR2-decoy_576,Cc1nnc(c2ccccc2)nc1N1CCOCC1,-7.00154281045211,0
CCR2-decoy_662,CCCCc1c(O)n(c2ccccc2)[nH]c1=O,-6.99189961985967,0
CCR2-decoy_551,N#Cc1cccc(c2cncnc2n2ccnc2)c1,-6.95647062282741,0
CCR2-decoy_684,CC(NNC(=O)c1ccncc1)c1ccccc1,-6.95492036379821,0
CCR2-decoy_505,CCOc1cc(=O)n(C)cc1c1cc(NC(=O)Cc2ccccc2OC)ccc1Oc1ccc(F)cc1F,-6.95378536210205,0
CCR2-decoy_611,Cc1ncncc1c1nc2cc(F)c(F)cc2n1C1CC1,-6.95183499162722,0
CCR2-decoy_606,O=C1c2ccccc2C(=O)c2c(/C=C\N3CCCCC3)ccnc21,-6.94912854708895,0
CCR2-decoy_679,N#Cc1nc(CSCc2ccccc2)oc1N,-6.94807332434352,0
CCR2-decoy_164,CC(C)=CCC[C@]1(C)/C=C/[C@@H](OC(=O)C=C(C)C)[C@](C)(O)/C=C/C(=O)/C(C(=O)[O-])=C\C1,-6.94715368415692,0
CCR2-decoy_186,COc1cccc(CN(CC2CCC(C(=O)[O-])CC2)S(=O)(=O)c2ccc(C)cc2)c1,-6.9417396028292,0
CCR2-decoy_1,O=C1OC(c2cncnc2)CC([O-])=C1Sc1ccccc1Cl,-6.93589487095832,0
CCR2-decoy_44,O=C(OCc1ccccc1)C1=C(c2ccccc2)S[C@@H]2CC(=O)N12,-6.93581243614094,0
CCR2-decoy_388,O=C(Cc1cc2ccccc2o1)Cc1nnc(CCSCCc2nnc(NC(=O)Cc3cc4ccccc4o3)s2)s1,-6.93126051410531,0
CCR2-decoy_685,C[C@H]1C=C(C=O)C(C=O)=C[C@@H]2CC(C)(C)C[C@H]12,-6.91785437133659,0
CCR2-decoy_636,Cc1ccc(O)c(NC(=O)COc2cccc(C)c2C)c1,-6.91464240842027,0
CCR2-decoy_273,COc1ccc(n2c3cssc-3c(NC(=O)NCCOC(=O)CCCCC(=O)c3c(O)cc(C)oc3=O)c2=O)c(OC)c1,-6.912810680284,0
CCR2-decoy_644,COc1ccc(/C=C/c2cc(F)c(F)c(F)c2)cc1[N+](=O)[O-],-6.90475939306285,0
CCR2-decoy_562,CCCCn1c(=O)sn(c2ccc(C)cc2)c1=O,-6.90016218600014,0
CCR2-decoy_770,Cc1cccc(C(=O)Nc2ccc3c(c2)C(=O)NC3=O)c1,-6.89952631523137,0
CCR2-decoy_598,Fc1ccc(n2nnc(c3cccnc3)n2)cc1,-6.89799025328371,0
CCR2-decoy_742,Cc1nc2c3c(c(C(=O)N(C)C)cn2c1C)CC[C@H](c1ccccc1F)O3,-6.86303568476151,0
CCR2-decoy_654,c1ccc(c2ncc(c3ncco3)cn2)cc1,-6.86280083071046,0
CCR2-decoy_612,COc1ccc(c2cc3cccc(OC)c3o2)cc1OC,-6.85236179021445,0
CCR2-decoy_709,C#Cc1c(SC)nn(c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,-6.84263656921204,0
CCR2-decoy_554,Cc1cccc(Sc2nccn(C)c2=O)c1,-6.83656532955757,0
CCR2-decoy_648,Oc1ccc(/C=C/c2cc(Br)ccc2O)cc1,-6.83609024470972,0
CCR2-decoy_453,Cn1cc(c2c(COc3cccc4ccccc34)cc(=O)n3c2SC[C@H]3C(=O)NS(C)(=O)=O)c2ccccc21,-6.83258814095871,0
CCR2-decoy_772,COc1ccc2cccc(CCN3CCCC3=O)c2c1,-6.82290256837514,0
ASD10910016,O=S(=O)(Nc1ccccc1)c1ccccc1,-6.82008732654451,1
CCR2-decoy_589,CC[S+]([O-])C1=CC(=O)c2ccccc2C1=O,-6.81296465811382,0
CCR2-decoy_50,CN(Cc1ccsc1)C(=O)c1nc(N2CCCC2)ncc1Cl,-6.80981545068677,0
CCR2-decoy_571,Sc1ncnc2c1ncn2Cc1ccco1,-6.80975779744495,0
CCR2-decoy_659,O=C(NN=C1CCCC1)c1cccc(O)c1,-6.80454316059901,0
CCR2-decoy_7,Cc1c(CC(=O)[O-])c(=O)oc2cc3occ(c4ccc(Cl)cc4)c3cc12,-6.79986296658554,0
CCR2-decoy_569,N#Cc1cccc(n2ncc(c3ccccn3)n2)c1,-6.7990929433064,0
CCR2-decoy_480,CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(C)C1c1ccc(C#N)cc1C(=O)NCc1ccnn1C,-6.78762454520154,0
CCR2-decoy_211,CCCC(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCC(C)C)C(C)(C)C)c1ccccc1,-6.78179069202452,0
CCR2-decoy_182,Cc1cccn2c(=O)c3cc(C#N)/c(=N\C(=O)c4cccs4)n(CCCOC(C)C)c3nc12,-6.77774140989298,0
